Frame Number,Video Time (s),LED Score,LED Score Smoothed,LED Detected,Detection Threshold,Required Peak Threshold
0,0.0,70.27857208251953,69.92918395996094,False,79.61967849731445,94.61967849731445
1,0.03331904329397517,69.57979583740234,69.57979583740234,False,79.61967849731445,94.61967849731445
2,0.06663808658795034,68.57426452636719,68.98048400878906,False,79.61967849731445,94.61967849731445
3,0.09995712988192551,68.98048400878906,68.70706939697266,False,79.61967849731445,94.61967849731445
4,0.13327617317590068,68.70706939697266,68.98048400878906,False,79.61967849731445,94.61967849731445
5,0.16659521646987585,69.24951171875,69.11126708984375,False,79.61967849731445,94.61967849731445
6,0.19991425976385102,69.11126708984375,69.11126708984375,False,79.61967849731445,94.61967849731445
7,0.23323330305782622,68.2714614868164,68.84211730957031,False,79.61967849731445,94.61967849731445
8,0.26655234635180136,68.84211730957031,68.84211730957031,False,79.61967849731445,94.61967849731445
9,0.29987138964577653,70.1289291381836,69.44851684570312,False,79.61967849731445,94.61967849731445
10,0.3331904329397517,69.44851684570312,69.44851684570312,False,79.61967849731445,94.61967849731445
11,0.36650947623372687,69.29191589355469,69.34113311767578,False,79.61967849731445,94.61967849731445
12,0.39982851952770204,69.34113311767578,69.34113311767578,False,79.61967849731445,94.61967849731445
13,0.4331475628216772,69.5683822631836,69.5683822631836,False,79.61967849731445,94.61967849731445
14,0.46646660611565244,71.19974517822266,69.65956115722656,False,79.61967849731445,94.61967849731445
15,0.4997856494096276,69.65956115722656,69.65956115722656,False,79.61967849731445,94.61967849731445
16,0.5331046927036027,68.70587921142578,69.49633026123047,False,79.61967849731445,94.61967849731445
17,0.5664237359975779,69.49633026123047,69.49633026123047,False,79.61967849731445,94.61967849731445
18,0.5997427792915531,70.49729919433594,70.49729919433594,False,79.61967849731445,94.61967849731445
19,0.6330618225855282,70.80147552490234,70.49729919433594,False,79.61967849731445,94.61967849731445
20,0.6663808658795034,70.45443725585938,70.80147552490234,False,79.61967849731445,94.61967849731445
21,0.6996999091734786,70.90763854980469,70.90763854980469,False,79.61967849731445,94.61967849731445
22,0.7330189524674537,71.94485473632812,71.88053894042969,False,79.61967849731445,94.61967849731445
23,0.7663379957614289,71.88053894042969,71.88053894042969,False,79.61967849731445,94.61967849731445
24,0.7996570390554041,71.57965850830078,71.57965850830078,False,79.61967849731445,94.61967849731445
25,0.8329760823493793,71.27278900146484,71.57965850830078,False,79.61967849731445,94.61967849731445
26,0.8662951256433544,167.94212341308594,167.94212341308594,True,79.61967849731445,94.61967849731445
27,0.8996141689373297,168.9642791748047,167.94212341308594,True,79.61967849731445,94.61967849731445
28,0.9329332122313049,167.17425537109375,167.17425537109375,True,79.61967849731445,94.61967849731445
29,0.96625225552528,166.81011962890625,166.81011962890625,True,79.61967849731445,94.61967849731445
30,0.9995712988192552,69.71543884277344,69.71543884277344,False,79.61967849731445,94.61967849731445
31,1.0328903421132303,68.47044372558594,68.47044372558594,False,79.61967849731445,94.61967849731445
32,1.0662093854072054,67.38521575927734,68.47044372558594,False,79.61967849731445,94.61967849731445
33,1.0995284287011806,69.4316177368164,69.21428680419922,False,79.61967849731445,94.61967849731445
34,1.1328474719951558,69.21428680419922,69.4316177368164,False,79.61967849731445,94.61967849731445
35,1.166166515289131,69.749267578125,69.53103637695312,False,79.61967849731445,94.61967849731445
36,1.1994855585831061,69.53103637695312,69.749267578125,False,79.61967849731445,94.61967849731445
37,1.2328046018770813,70.25759887695312,70.25759887695312,False,79.61967849731445,94.61967849731445
38,1.2661236451710565,71.74015045166016,71.16995239257812,False,79.61967849731445,94.61967849731445
39,1.2994426884650316,71.16995239257812,71.70759582519531,False,79.61967849731445,94.61967849731445
40,1.3327617317590068,71.70759582519531,71.16995239257812,False,79.61967849731445,94.61967849731445
41,1.366080775052982,70.78897094726562,70.93645477294922,False,79.61967849731445,94.61967849731445
42,1.3993998183469571,70.93645477294922,70.78897094726562,False,79.61967849731445,94.61967849731445
43,1.4327188616409323,70.2181396484375,70.2181396484375,False,79.61967849731445,94.61967849731445
44,1.4660379049349075,69.79656982421875,70.2181396484375,False,79.61967849731445,94.61967849731445
45,1.4993569482288827,70.32980346679688,69.95833587646484,False,79.61967849731445,94.61967849731445
46,1.5326759915228578,69.95833587646484,70.32980346679688,False,79.61967849731445,94.61967849731445
47,1.565995034816833,72.1290283203125,72.1290283203125,False,79.61967849731445,94.61967849731445
48,1.5993140781108082,72.4056396484375,72.1290283203125,False,79.61967849731445,94.61967849731445
49,1.6326331214047833,72.08399200439453,72.08399200439453,False,79.61967849731445,94.61967849731445
50,1.6659521646987585,70.55416107177734,70.55416107177734,False,79.61967849731445,94.61967849731445
51,1.6992712079927337,70.3862075805664,70.3862075805664,False,79.61967849731445,94.61967849731445
52,1.7325902512867088,69.59190368652344,70.3862075805664,False,79.61967849731445,94.61967849731445
53,1.765909294580684,70.67931365966797,69.6273422241211,False,79.61967849731445,94.61967849731445
54,1.7992283378746594,69.6273422241211,70.09261322021484,False,79.61967849731445,94.61967849731445
55,1.8325473811686346,70.09261322021484,69.89507293701172,False,79.61967849731445,94.61967849731445
56,1.8658664244626098,69.89507293701172,69.89507293701172,False,79.61967849731445,94.61967849731445
