Phase Shift Command (deg),Equivalent Signed Phase (deg),Valid Repeats,Mean Transport Time (s),SD Transport Time (s),Coefficient of Variation (%),Mean Transport Speed (mm/s),SD Transport Speed (mm/s),Mean Advance per Cycle (mm),Mean Total Backward Travel (mm),Mean Backward Travel Percentage (%),Mean Vertical Peak-to-Peak (mm),Mean Pitch Peak-to-Peak (deg),Performance Rank
72,72,3,11.104749831528585,0.11449668054410587,1.0310604226222828,46.83875440915468,0.6053509838070167,138.0248652034336,0.0,0.0,5.756629096137165,2.576604307795032,2
90,90,3,11.160628925981314,0.074855151438021,0.6707072866096501,46.627468260223644,0.13233551551157072,139.69904696872388,0.12256918130097579,0.023784575980865825,7.1751335991753535,2.10664864270116,3
120,120,3,11.210397524979008,0.06279212582489081,0.5601239892249797,46.596005462902525,0.34909964140772765,137.4518909112171,0.2987205646656186,0.057272497614258726,7.602610270182292,0.8282839458447256,4
180,180,3,10.967681525170237,0.025108636631072406,0.22893294789285631,47.52220269193328,0.07628103538066058,143.8240691644174,2.6603410897431914,0.5106350010408915,7.846886528862872,0.9553486494619827,1
240,-120,3,11.35506176047236,0.07240077518370813,0.6376079383006045,45.758488911743285,0.13597356900818855,135.3309491151645,0.22930073738098145,0.04412024079393076,7.276285807291686,1.117729372922,5
270,-90,3,11.661066022385867,0.011961551946047333,0.10257683065240021,44.69680695446423,0.27461141772365644,132.01337326897513,0.46033100552031314,0.0881334827957857,6.747049967447897,1.8452243528148067,6
288,-72,3,11.370512157153362,0.09087337249564029,0.7992021048803017,44.12310481471301,0.07026684908816917,130.90817628819264,0.8662796868218265,0.17214711763157556,6.859252929687519,2.5313271566046835,7
