Test ID,Friction Level,Cycle Duration Setting (s),Cycle Number,Cycle Start Time (s),Cycle End Time (s),Measured Cycle Duration (s),Centroid Start X (mm),Centroid End X (mm),Net Advance (mm),Total Forward Movement (mm),Total Backward Movement (mm),Maximum Backward Excursion (mm),Vertical Peak-to-Peak (mm),Mean Pitch Angle (deg),Pitch Peak-to-Peak (deg)
low_1p5s_rep2,Low,1.5,1,1.1328438647342995,2.632196038647343,1.4993521739130435,21.262820773654514,-119.06671227349175,140.32953304714627,140.32953304714627,0.0,0.0,4.389638264973939,0.6718982989649515,0.3857164354805904
low_1p5s_rep2,Low,1.5,2,2.632196038647343,4.131548212560387,1.4993521739130435,-124.48752848307292,-266.80402808719214,142.3164996041192,142.3164996041192,0.0,0.0,3.5939737955729356,0.7590794484401896,0.4368001397337107
low_1p5s_rep2,Low,1.5,3,4.131548212560387,5.63090038647343,1.4993521739130435,-271.57288953993054,-417.6925133599175,146.11962381998694,146.11962381998694,0.0,0.0,3.70281982421875,0.5949951340035452,0.6839852778054347
