rev,start_time_s,end_time_s,duration_s,frames,mean_radius_mm,std_radius_mm,min_radius_mm,max_radius_mm,radius_range_mm,mean_area_px2,std_area_px2,radius_error_mm,radius_error_percent,rpm
1,0.0,5.815916754850089,5.815916754850089,175,21.96542256592631,1.0656507920701244,20.21838376767732,23.374331849545868,3.155948081868548,1295.3857142857144,62.271754001871685,-0.03457743407368952,-0.1571701548804069,10.316516299853154
2,5.849341563786009,11.798957554379777,5.9496159905937684,179,21.921635043675206,0.5219995648559164,21.10384820605345,22.643986472612113,1.5401382665586638,1303.6061452513966,59.463636477660216,-0.07836495632479412,-0.3562043469308824,10.084684472890162
3,11.832382363315697,17.815423162845384,5.983040799529688,180,21.983995352906998,0.21779241742086175,21.51580524750992,22.359157320127764,0.8433520726178436,1301.1527777777778,44.57271058118065,-0.016004647093001978,-0.07274839587728173,10.028345453488543
4,17.848847971781307,23.831888771310993,5.983040799529686,180,21.967977597097615,0.18139684931144912,21.56802742659055,22.2988916504746,0.7308642238840513,1292.9527777777778,51.04575932742572,-0.03202240290238478,-0.14555637682902176,10.028345453488546
5,23.865313580246916,29.814929570840683,5.949615990593767,179,22.042641751263638,0.23227648566129927,21.65493801666309,22.468304601958092,0.8133665852950038,1266.572625698324,72.9989439613442,0.04264175126363767,0.19382614210744395,10.084684472890165
6,29.8483543797766,35.83139517930629,5.9830407995296895,180,21.988973711360206,0.2474200408310819,21.562471616503903,22.46192183046893,0.8994502139650287,1272.9611111111112,72.40326730249797,-0.011026288639794046,-0.05011949381724567,10.028345453488539
7,35.86481998824221,41.8478607877719,5.9830407995296895,180,21.982818869929915,0.2310079843932301,21.54402568190115,22.430279111194935,0.8862534292937845,1271.3,53.12198989171872,-0.01718113007008526,-0.07809604577311481,10.028345453488539
8,41.88128559670782,47.89775120517343,6.016465608465609,181,22.04440309995899,0.24978379411736623,21.61986350368738,22.465536917706274,0.8456734140188935,1271.7348066298343,54.86899907548646,0.04440309995899128,0.20183227254086944,9.972632423191383
9,47.93117601410935,53.91421681363904,5.9830407995296895,180,22.014537780704224,0.21265052264199294,21.593442831583477,22.42181961652405,0.8283767849405734,1290.7888888888888,50.85800024285923,0.014537780704223735,0.06608082138283515,10.028345453488539
10,53.947641622574956,59.897257613168726,5.94961599059377,179,21.91807897692881,0.3260825210270458,21.369594450422696,22.50765412608657,1.1380596756638752,1247.4888268156424,84.48404136430216,-0.08192102307118887,-0.37236828668722216,10.08468447289016
