frame,time_s,x_px,y_px,area_px2,x_mm,y_mm,radius_px,radius_mm,theta_rad,theta_unwrapped_rad,theta_unwrapped_deg,rev_float,rev_index
0,0.0,965.045074518357,302.9883678662305,1375.5,-2.7210803115191817,22.009299904862626,138.94019972700698,22.176869940636873,1.6938053294408464,1.6938053294408464,97.0478966937265,0.0,1
1,0.03342480893592005,970.0809241413391,302.72115147022487,1349.0,-1.9172857124836942,22.051951515209133,138.67877569661493,22.135142875807883,1.6575222754937184,1.6575222754937184,94.9690308347106,0.005774627386155294,1
2,0.0668496178718401,974.8892672468154,302.92218438642954,1321.5,-1.1498044515554469,22.01986374762842,138.14448794390688,22.049862805490132,1.6229656389476574,1.6229656389476574,92.98908140645375,0.011274486909090973,1
3,0.10027442680776015,979.9145684579731,303.0100212952524,1330.5,-0.34769353195592984,22.005843703704635,137.8859119006472,22.00859032069162,1.5865950668037891,1.5865950668037891,90.90520112413402,0.01706304324886799,1
4,0.1336992357436802,985.0292887029289,303.595917332319,1314.5,0.4686899616477382,21.91232620309437,137.31420813225347,21.917338111891357,1.5494102584621063,1.5494102584621063,88.77466854415275,0.022981189304371537,1
5,0.16712404467960024,989.7157703299557,304.5580670303975,1283.0,1.216720364122804,21.758753164048546,136.53362231225316,21.792745299719893,1.5149358396324157,1.5149358396324157,86.79942984404514,0.02846796347133712,1
6,0.2005488536155203,994.1358835651725,305.2821998969603,1294.0,1.922234510013567,21.64317106158247,136.13027267896018,21.728364851327584,1.4822139259492173,1.4822139259492173,84.92460229240649,0.03367581778144447,1
7,0.23397366255144034,1005.3962560386473,307.3824879227053,1380.0,3.7195531860917055,21.307934647093784,135.51491337616076,21.630144586409603,1.3979757907042412,1.3979757907042412,80.09811266881712,0.04708273340252605,1
8,0.2673984714873604,1009.8853227551389,309.0227190768121,1386.5,4.436073307137171,21.046129978260158,134.75320061766885,21.508564188437028,1.3630585584403607,1.3630585584403607,78.09750262781874,0.052639983516410443,1
9,0.30082328042328044,1014.4652600945799,310.5587486358676,1374.5,5.167097696857456,20.80095739449335,134.28054936861818,21.433122197580015,1.327317778148116,1.327317778148116,76.04970676056877,0.05832830536988259,1
10,0.3342480893592005,1019.3029425952724,312.40882778581766,1382.0,5.939261950563352,20.505657943586108,133.7501467111421,21.348462244779263,1.2888708662237618,1.2888708662237618,73.84686097199207,0.0644473214492623,1
11,0.3676728982951205,1029.2933655839668,315.7146970744068,1447.0,7.533878279800988,19.977993283553698,133.76814938661107,21.35133573274922,1.2101780757070337,1.2101780757070337,69.33809619727646,0.07697166804569457,1
12,0.4010977072310406,1033.9722615675164,318.9105288007554,1412.0,8.280697903616307,19.46789221354913,132.54323436757096,21.155821539456284,1.1686279607987462,1.1686279607987462,66.95744997474797,0.0835845742193848,1
13,0.43452251616696064,1038.9082612872237,321.14097022094137,1388.0,9.068555010674222,19.111881430616172,132.53344904966255,21.154259660871045,1.1277574222941393,1.1277574222941393,64.61574061200707,0.09008932244922063,1
14,0.4679473251028807,1043.9362796679527,323.8522155968666,1425.5,9.871099629925151,18.679127366657823,132.36240936863814,21.126959248404248,1.0846438068174058,1.0846438068174058,62.14551240564034,0.096951067466906,1
15,0.5013721340388008,1047.970511913187,326.58575135645196,1413.0,10.51502157611978,18.24281543434799,131.9194582442276,21.056257827970043,1.0479161932430086,1.0479161932430086,60.04117515623999,0.10279644871524031,1
16,0.5347969429747208,1052.1216874628637,329.41105169340466,1402.5,11.17760936890268,17.791856545279554,131.63993747723347,21.011642261650753,1.0098683632864305,1.0098683632864305,57.86119508009664,0.1088519489267496,1
17,0.5682217519106408,1055.81592039801,332.5040650406504,1373.5,11.767262496608875,17.298166779025465,131.07307319779912,20.92116250544118,0.9734414432592975,0.9734414432592975,55.77408630188135,0.11464947331068098,1
18,0.6016465608465609,1063.6440617151059,337.6816170314556,1393.5,13.0167473268255,16.471754427981082,131.53035734080012,20.99415168341253,0.9020309617826388,0.9020309617826388,51.682567100271655,0.12601480442626345,1
