frame,time_s,x_px,y_px,area_px2
0,0.0,965.045074518357,302.9883678662305,1375.5
1,0.03342480893592005,970.0809241413391,302.72115147022487,1349.0
2,0.0668496178718401,974.8892672468154,302.92218438642954,1321.5
3,0.10027442680776015,979.9145684579731,303.0100212952524,1330.5
4,0.1336992357436802,985.0292887029289,303.595917332319,1314.5
5,0.16712404467960024,989.7157703299557,304.5580670303975,1283.0
6,0.2005488536155203,994.1358835651725,305.2821998969603,1294.0
7,0.23397366255144034,1005.3962560386473,307.3824879227053,1380.0
8,0.2673984714873604,1009.8853227551389,309.0227190768121,1386.5
9,0.30082328042328044,1014.4652600945799,310.5587486358676,1374.5
10,0.3342480893592005,1019.3029425952724,312.40882778581766,1382.0
11,0.3676728982951205,1029.2933655839668,315.7146970744068,1447.0
12,0.4010977072310406,1033.9722615675164,318.9105288007554,1412.0
13,0.43452251616696064,1038.9082612872237,321.14097022094137,1388.0
14,0.4679473251028807,1043.9362796679527,323.8522155968666,1425.5
15,0.5013721340388008,1047.970511913187,326.58575135645196,1413.0
16,0.5347969429747208,1052.1216874628637,329.41105169340466,1402.5
17,0.5682217519106408,1055.81592039801,332.5040650406504,1373.5
18,0.6016465608465609,1063.6440617151059,337.6816170314556,1393.5
19,0.6350713697824809,1066.7705331412103,340.8220461095101,1388.0
20,0.668496178718401,1070.3888096935138,344.5327868852459,1403.0
21,0.701920987654321,1074.0016648828635,348.536805803306,1401.5
22,0.735345796590241,1076.7458556946929,352.5605247465712,1397.5
23,0.7687706055261612,1080.258697261288,356.62065136935604,1351.0
24,0.8021954144620812,1083.0419743968487,360.94251600196947,1354.0
25,0.8356202233980012,1085.4430444189893,364.3053328242332,1309.5
26,0.8690450323339213,1091.3642624593037,372.44828449787127,1331.0
27,0.9024698412698413,1094.0164145855317,376.8000937976316,1421.5
28,0.9358946502057613,1096.144681363691,381.237682206963,1383.5
29,0.9693194591416814,1098.440436756226,385.80088332719913,1358.5
30,1.0027442680776015,1099.9398613103776,390.5602582496413,1394.0
31,1.0361690770135215,1101.5428605972675,394.52133962036027,1378.5
32,1.0695938859494416,1103.3622294764841,398.85080401402485,1378.5
33,1.1030186948853615,1104.7522835221046,403.2507611740348,1368.5
34,1.1364435038212817,1106.0262762762763,408.1631631631631,1332.0
35,1.1698683127572016,1106.6750192752506,412.8409149318941,1297.0
36,1.2032931216931217,1107.6207032793363,417.064006321612,1265.5
