frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.55075740814209,0.1801555943578361,0.036773860454559326
2,0.06670963122090941,5.553333520889282,0.1800720227298477,0.03850015625357628
4,0.13341926244181881,5.553925514221191,0.180052828839608,0.03851809352636337
6,0.20012889366272824,5.551506996154785,0.18013126898563642,0.039572615176439285
8,0.26683852488363763,5.550662040710449,0.18015868966001872,0.039511196315288544
10,0.3335481561045471,5.544698476791382,0.18035245815182402,0.03687988966703415
12,0.40025778732545647,5.549844980239868,0.18018521302135168,0.03865693882107735
14,0.46696741854636586,5.5537474155426025,0.18005860280959496,0.03474515676498413
16,0.5336770497672753,5.5547661781311035,0.18002557946308537,0.03677160292863846
18,0.6003866809881847,5.5508105754852295,0.18015386877304565,0.036613233387470245
20,0.6670963122090942,5.548411130905151,0.18023177742361407,0.03986852988600731
22,0.7338059434300035,5.550042390823364,0.18017880397696337,0.04233506694436073
24,0.8005155746509129,5.5478410720825195,0.18025029682846075,0.0414639413356781
26,0.8672252058718224,5.550554990768433,0.18016216426342577,0.040438029915094376
28,0.9339348370927317,5.552822113037109,0.18008860713404903,0.0388471893966198
30,1.0006444683136413,5.554024696350098,0.18004961350949042,0.03845277801156044
32,1.0673540995345505,5.5532448291778564,0.18007489868730447,0.03809370845556259
34,1.13406373075546,5.551985502243042,0.1801157441055984,0.040638793259859085
36,1.2007733619763694,5.550877571105957,0.18015169442851897,0.04170124605298042
38,1.2674829931972789,5.550596475601196,0.18016081774196854,0.04003509506583214
40,1.3341926244181883,5.550355434417725,0.18016864177724642,0.04050891846418381
42,1.4009022556390978,5.553518295288086,0.18006603144684977,0.03835824504494667
44,1.467611886860007,5.553321838378906,0.18007240154694767,0.039439085870981216
46,1.5343215180809164,5.555470705032349,0.1800027491989407,0.04195186495780945
48,1.6010311493018259,5.550137758255005,0.18017570798358087,0.04062630608677864
50,1.6677407805227353,5.549470663070679,0.18019736668842426,0.0400349423289299
52,1.7344504117436448,5.55377197265625,0.18005780664446716,0.03874097391963005
54,1.8011600429645542,5.5508668422698975,0.1801520426296289,0.04060114175081253
56,1.8678696741854635,5.551390647888184,0.1801350442488518,0.039595287293195724
58,1.934579305406373,5.552048683166504,0.18011369443354183,0.03952240198850632
