method,rev,frames,duration_s,rpm,mean_motion_radius_mm,std_motion_radius_mm,radius_error_mm,radius_error_percent,mean_marker_radius_mm,std_marker_radius_mm,mean_area_px2,std_area_px2
hough,1,181,6.0037868504772005,9.993692563424533,22.517735276310763,0.24604926208191016,0.5177352763107628,2.3533421650489217,3.474816923026603,0.1308158534130615,1236.488950276243,34.40086222276611
hough,2,179,5.93707810769412,10.105981243912451,22.529587162038485,0.2463504460507932,0.5295871620384851,2.4072143729022053,3.4749132093123034,0.14023776719800687,1243.022346368715,29.58452095026862
hough,3,179,5.937078107694122,10.105981243912447,22.53204746244417,0.18954105301636756,0.5320474624441687,2.418397556564403,3.495245663309394,0.1404929771765376,1246.5698324022346,29.992731057105953
hough,4,181,6.003786850477201,9.993692563424531,22.563647769259077,0.15999318527829684,0.5636477692590773,2.5620353148139876,3.4738594094076913,0.15265188376306513,1230.0773480662983,34.41006128115178
hough,5,180,5.970432479085659,10.049523248136405,22.538398821742994,0.20800040363001762,0.5383988217429945,2.447267371559066,3.464273634178375,0.15543354502061332,1232.2111111111112,29.62715025577196
hough,6,181,6.003786850477198,9.993692563424538,22.5656564528818,0.29675890134972954,0.5656564528818002,2.5711656949172736,3.4939671954048146,0.1281098117368247,1243.5055248618785,28.58204510946787
hough,7,179,5.93707810769412,10.105981243912451,22.560265371564718,0.23488779869243384,0.5602653715647179,2.546660779839627,3.494277451214294,0.16549124977004542,1249.6256983240223,26.991355439663973
hough,8,180,5.970432479085659,10.049523248136405,22.42232938268566,0.18266653791125892,0.42232938268566045,1.9196790122075476,3.5076011254340806,0.13874946266863894,1257.7472222222223,30.303100917261556
hough,9,181,6.003786850477198,9.993692563424538,22.559008163361543,0.161760841901686,0.5590081633615434,2.540946197097924,3.5073723860695627,0.14772890226250726,1263.720994475138,23.229849119540916
hough,10,179,5.93707810769412,10.105981243912451,22.451769389626246,0.25033541330928033,0.45176938962624646,2.0534972255738473,3.469103936741706,0.13927318054947488,1244.1201117318435,29.182606755841697
