frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.515499830245972,0.18130723067312715,0.07104282081127167
2,0.0666380918391625,5.510175943374634,0.18148240823460227,0.06833276897668839
4,0.133276183678325,5.513669013977051,0.18136743382038678,0.0728822574019432
6,0.19991427551748753,5.513414144515991,0.18137581792121793,0.07345268130302429
8,0.26655236735665,5.516803741455078,0.18126437822786245,0.07307393848896027
10,0.3331904591958125,5.511068344116211,0.18145302100410918,0.07130315899848938
12,0.39982855103497505,5.5179901123046875,0.18122540628880035,0.07227206230163574
14,0.4664666428741375,5.518050670623779,0.18122341741507722,0.07267361879348755
16,0.5331047347133,5.515297889709473,0.18131386916848413,0.07375544309616089
18,0.5997428265524626,5.516085386276245,0.18128798413598743,0.07129526883363724
20,0.666380918391625,5.514129400253296,0.18135229107138187,0.0724555253982544
22,0.7330190102307875,5.5123584270477295,0.18141055470799147,0.07115533202886581
24,0.7996571020699501,5.515308618545532,0.18131351646169797,0.07169882953166962
26,0.8662951939091126,5.516789674758911,0.18126484041530927,0.07154110819101334
28,0.932933285748275,5.516582727432251,0.18127164032677529,0.07268267869949341
30,0.9995713775874376,5.51445460319519,0.18134159621525928,0.07100915163755417
32,1.0662094694266,5.5115063190460205,0.18143860173838805,0.07180514931678772
34,1.1328475612657627,5.51629114151001,0.18128122217390136,0.07205185294151306
36,1.1994856531049252,5.5150017738342285,0.18132360441740417,0.07136282324790955
38,1.2661237449440876,5.508962392807007,0.18152238637636903,0.07088246941566467
40,1.33276183678325,5.5126237869262695,0.18140182219065965,0.07351783663034439
42,1.3993999286224126,5.5148091316223145,0.18132993837736427,0.07098589837551117
44,1.466038020461575,5.513995409011841,0.18135669796997697,0.07042314857244492
46,1.5326761123007377,5.516442775726318,0.1812762391735924,0.07017002999782562
48,1.5993142041399002,5.514694452285767,0.18133370917504113,0.07213766127824783
50,1.6659522959790627,5.516678333282471,0.18126849882961935,0.07121159136295319
52,1.7325903878182252,5.516696929931641,0.18126788777798444,0.06915514171123505
54,1.7992284796573876,5.516402006149292,0.1812775789156177,0.06949382275342941
56,1.86586657149655,5.5158281326293945,0.1812964392571275,0.07097811996936798
58,1.9325046633357128,5.512691497802734,0.18139959408187145,0.06941081583499908
