frame,video_time_s,tracking_time_s,x_px,y_px,x_measured_mm,y_measured_mm,dot_diameter_mm,dot_circularity
195,6.497213954318345,-0.0027860456816553025,1123.4788327168105,355.7818879298534,58.55971908569336,-16.50770378112793,7.135982895651029,0.8284430694908724
196,6.530533000237925,0.03053300023792538,1125.2740124740126,356.7336105336105,58.88163757324219,-16.687454223632812,7.0948021064025975,0.833219408892075
197,6.563852046157507,0.06385204615750695,1125.7771857923497,357.20587431693986,58.97087478637695,-16.776208877563477,7.146241013744665,0.8423072617239723
198,6.5971710920770885,0.09717109207708852,1125.9936366098023,357.2527755212564,59.010005950927734,-16.78521156311035,7.178385380081114,0.8499018338932908
199,6.630490137996669,0.1304901379966692,1129.8628252281703,360.2653589429233,59.69900894165039,-17.351991653442383,7.156484427847845,0.837435643241736
200,6.663809183916251,0.16380918391625077,1134.3297505307855,363.1981157112526,60.4968147277832,-17.904338836669922,7.250910815987705,0.8378074388133552
201,6.697128229835832,0.19712822983583234,1121.9204575685021,360.97313115190207,58.25164794921875,-17.475156784057617,7.242246111658596,0.8217184701289084
202,6.730447275755413,0.23044727575541302,1113.3031567236824,360.2327909887359,56.688743591308594,-17.327293395996094,7.082992190422314,0.8262318284504482
203,6.763766321674995,0.2637663216749946,1102.7563998922121,359.7747237941256,54.77406311035156,-17.22995948791504,7.195858149248713,0.8055676006201667
204,6.797085367594575,0.29708536759457527,1099.322597960279,360.2287976382179,54.148101806640625,-17.310834884643555,7.210386446189841,0.8326268573079303
205,6.830404413514157,0.33040441351415684,1095.6898597626753,361.79314994606256,53.48120880126953,-17.598608016967773,7.192948968556034,0.8345098310051555
206,6.863723459433738,0.3637234594337384,1093.2732636095466,363.11196031107534,53.03651428222656,-17.84187126159668,7.213288594202784,0.8538378581587236
207,6.897042505353319,0.3970425053533191,1086.9335516441533,363.0843225542366,51.88520812988281,-17.829553604125977,7.150632845162244,0.8078838051059298
208,6.930361551272901,0.43036155127290066,1082.7157538877618,363.25003380662605,51.11854553222656,-17.85569190979004,7.182757557146766,0.819232836413946
209,6.963680597192482,0.4636805971924822,1074.9816924328723,362.70924871168967,49.71646499633789,-17.746122360229492,7.172551664871202,0.8339736613920974
