method,rev,frames,duration_s,rpm,mean_motion_radius_mm,std_motion_radius_mm,radius_error_mm,radius_error_percent,mean_marker_radius_mm,std_marker_radius_mm,mean_area_px2,std_area_px2
min_enclosing_circle,1,181,6.0037868504772005,9.993692563424533,22.517631675728417,0.2155329481383254,0.517631675728417,2.3528712533109863,3.701543317410259,0.04289639934218011,1236.488950276243,34.40086222276611
min_enclosing_circle,2,179,5.93707810769412,10.105981243912451,22.532729428928807,0.2030933831388133,0.5327294289288069,2.42149740422185,3.7082793435625856,0.04098370653128105,1243.022346368715,29.58452095026862
min_enclosing_circle,3,179,5.937078107694122,10.105981243912447,22.543501479326935,0.12801231796575246,0.5435014793269346,2.4704612696678843,3.713838369221571,0.03620221840636687,1246.5698324022346,29.992731057105953
min_enclosing_circle,4,180,5.970432479085659,10.049523248136405,22.56746185624127,0.10502443762961047,0.5674618562412697,2.579372073823953,3.704633243417551,0.04236431557530913,1229.7916666666667,34.29012248447066
min_enclosing_circle,5,181,6.003786850477198,9.993692563424538,22.53157121714148,0.14283909878129233,0.5315712171414795,2.416232805188543,3.7037559002308673,0.03622081649414756,1232.4834254143645,29.771019677629365
min_enclosing_circle,6,180,5.970432479085659,10.049523248136405,22.54381639605734,0.24966700344443366,0.5438163960573412,2.471892709351551,3.715869710070212,0.03970528625253245,1243.3777777777777,28.609908733089394
min_enclosing_circle,7,180,5.970432479085659,10.049523248136405,22.529630741324087,0.18214638774390976,0.5296307413240875,2.4074124605640344,3.7220379002691173,0.03513062775810151,1249.7194444444444,26.9452250042122
min_enclosing_circle,8,180,5.970432479085659,10.049523248136405,22.433058089862016,0.11391153869256707,0.43305808986201555,1.9684458630091617,3.7234868843675804,0.0372505643214136,1257.7472222222223,30.303100917261556
min_enclosing_circle,9,181,6.003786850477198,9.993692563424538,22.553713547403863,0.06743751680400845,0.5537135474038628,2.516879760926649,3.7341302204193254,0.030013232906948163,1263.720994475138,23.229849119540916
min_enclosing_circle,10,180,5.970432479085666,10.049523248136394,22.45803493449756,0.22983555400718733,0.4580349344975616,2.0819769749889163,3.7178502203440313,0.041287175178173194,1244.3361111111112,29.24491220400546
