method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2
min_enclosing_circle,0,0.0,1003.7398071289062,625.6357421875,21.848438262939453,3.7865520711532863,1298.0
min_enclosing_circle,1,0.03335437139154,1000.1666870117188,628.1666870117188,21.40232276916504,3.709235810531104,1271.0
min_enclosing_circle,2,0.06670874278308,995.5,629.5,21.691110610961914,3.7592856212919363,1252.0
min_enclosing_circle,3,0.10006311417462001,991.6609497070312,630.8441162109375,21.578189849853516,3.7397153281338897,1275.5
min_enclosing_circle,4,0.13341748556616,987.0833129882812,631.9166870117188,21.517885208129883,3.7292639327860533,1279.5
min_enclosing_circle,5,0.1667718569577,983.0260620117188,633.3365478515625,21.339563369750977,3.6983589812138,1257.0
min_enclosing_circle,6,0.20012622834924002,978.5,634.5,21.272146224975586,3.6866749182108385,1265.0
min_enclosing_circle,7,0.23348059974078,974.1698608398438,635.3539428710938,21.581846237182617,3.7403490164940063,1293.0
min_enclosing_circle,8,0.26683497113232,969.3384399414062,636.1654663085938,21.57196807861328,3.7386370331778647,1286.0
min_enclosing_circle,9,0.30018934252386004,964.7820434570312,636.2948608398438,21.618728637695312,3.746741104036819,1277.0
min_enclosing_circle,10,0.3335437139154,959.9093627929688,637.0731201171875,21.51744842529297,3.729188233967865,1276.0
min_enclosing_circle,11,0.36689808530694,956.5,637.5,21.50591278076172,3.727188991817638,1262.5
min_enclosing_circle,12,0.40025245669848003,951.1500244140625,637.8499755859375,21.42540168762207,3.713235617081657,1252.5
min_enclosing_circle,13,0.43360682809002005,947.5,637.9324340820312,21.30320167541504,3.692057137240268,1248.0
min_enclosing_circle,14,0.46696119948156,943.0833129882812,637.9166870117188,21.517885208129883,3.7292639327860533,1255.0
min_enclosing_circle,15,0.5003155708731001,938.5,637.5,21.50591278076172,3.727188991817638,1262.0
min_enclosing_circle,16,0.53366994226464,933.9444580078125,636.5,21.68029022216797,3.7574103400885246,1297.0
min_enclosing_circle,17,0.56702431365618,929.0833129882812,635.9166870117188,21.517885208129883,3.7292639327860533,1285.5
min_enclosing_circle,18,0.6003786850477201,925.8499755859375,635.1500244140625,21.42546844482422,3.713247186770026,1277.0
min_enclosing_circle,19,0.63373305643926,921.2748413085938,634.3972778320312,21.383520126342773,3.705977125161241,1268.5
min_enclosing_circle,20,0.6670874278308,916.5,633.3048706054688,21.451162338256836,3.7177001945421333,1272.0
min_enclosing_circle,21,0.7004417992223401,913.1197509765625,632.0265502929688,21.589374542236328,3.741653746779546,1304.5
min_enclosing_circle,22,0.73379617061388,907.9053955078125,630.4328002929688,21.629541397094727,3.748615062990132,1253.0
