frame,video_time_s,tracking_time_s,x_px,y_px,x_measured_mm,y_measured_mm,dot_diameter_mm,dot_circularity,nearest_commanded_x_mm,nearest_commanded_y_mm,x_path_deviation_mm,y_path_deviation_mm,path_deviation_mm
195,6.497210924646265,-0.002789075353734738,1164.640319071791,342.57916364515347,67.20477294921875,-30.147708892822266,7.549098518056046,0.8387222327500583,67.18856805132064,-29.810341917128632,0.016204897898106196,-0.3373669756936337,0.3377559399989242
196,6.530529955029067,0.03052995502906697,1164.2545649838883,343.16803914548274,67.1365737915039,-30.255104064941406,7.596847877864805,0.8328960934078135,67.11537919575822,-29.81385742995922,0.021194595745683387,-0.4412466349821855,0.44175536643251434
197,6.563848985411868,0.06384898541186779,1156.3927602877018,341.77962504421646,65.72476959228516,-30.023361206054688,7.6429473243155295,0.829589529469741,65.69800034281904,-29.614941383294052,0.026769249466113365,-0.40841982276063504,0.40929615725145474
198,6.5971680157946695,0.0971680157946695,1154.0103056147832,341.47050461975834,65.2970962524414,-29.973304748535156,7.6253539738087435,0.8324262155616314,65.27279210142385,-29.64625289473215,0.024304151017560116,-0.32705185380300605,0.32795366567957007
199,6.630487046177471,0.1304870461774712,1151.3909230951533,341.0110202630643,64.8266830444336,-29.896650314331055,7.623998957543259,0.8033700053890984,64.80904745709952,-29.68441268135438,0.01763558733406967,-0.21223763297667375,0.21296907473189358
200,6.663806076560272,0.16380607656027202,1149.7363166125344,340.62684951281125,64.52938079833984,-29.831247329711914,7.566869168400964,0.839837832604157,64.51833207552747,-29.711004947329243,0.0110487228123759,-0.1202423823826706,0.12074893290147573
201,6.697125106943074,0.19712510694307372,1147.36470729655,339.9710301718956,64.10304260253906,-29.718482971191406,7.56959941174018,0.8230360039339826,64.10632739907561,-29.75110431439481,-0.003284796536547674,0.032621343203402375,0.032786306908230485
202,6.730444137325875,0.23044413732587543,1148.9569583931134,341.72381635581064,64.3914794921875,-30.031475067138672,7.590044932220003,0.83815634901954,64.36334105096037,-29.72524662181135,0.02813844122712794,-0.30622844532732074,0.30751850773942113
203,6.763763167708676,0.26376316770867625,1151.721240533718,343.57927635533116,64.89021301269531,-30.36013412475586,7.56959941174018,0.8364523104328505,64.83389334107882,-29.68234814760198,0.05631967161649243,-0.6777859771538779,0.6801218539625282
204,6.797082198091478,0.29708219809147796,1150.3439703597464,342.8930321501135,64.64214324951172,-30.239450454711914,7.591406009059102,0.8317032624938618,64.59295586236928,-29.704147984587102,0.049187387142438865,-0.5353024701248117,0.5375575630345322
205,6.830401228474279,0.3304012284742788,1145.9028713222262,342.02174169916105,63.84439468383789,-30.092809677124023,7.634832354066551,0.8412459316942218,63.926682546255094,-29.769193599887284,-0.08228786241720343,-0.32361607723673913,0.33391414727035407
206,6.8637202588570805,0.3637202588570805,1143.0676015821648,341.0381157856886,63.33436584472656,-29.921924591064453,7.580510551690959,0.8069279828592605,63.41222628798036,-29.631345460941436,-0.07786044325379748,-0.2905791301230174,0.30082965194064115
207,6.897039289239882,0.3970392892398822,1142.6684908184359,341.3644655235316,63.26335144042969,-29.981904983520508,7.525796660413736,0.8363737432461225,63.36096404486808,-29.617609784297294,-0.09761260443839603,-0.3642951992232142,0.37714614239353966
208,6.930358319622683,0.430358319622683,1140.4002385211686,341.14645199761475,62.856285095214844,-29.948041915893555,7.5995673509706565,0.810990190363138,62.81477305786972,-29.59730848327555,0.041512037345121655,-0.3507334326180036,0.3531815255651836
209,6.963677350005485,0.4636773500054847,1138.3544089147285,340.70082364341084,62.488677978515625,-29.87248420715332,7.540882554963675,0.8102655802923384,62.459303506058575,-29.641581987656885,0.02937447245705016,-0.23090221949643563,0.2327631727754847
210,6.9969963803882855,0.49699638038828553,1137.229943916118,341.07266520360884,62.28771209716797,-29.942461013793945,7.516180780494436,0.8219223253597457,62.25041050831835,-29.668374122184012,0.03730158884961554,-0.27408689160993305,0.27661350777411603
211,7.030315410771087,0.5303154107710872,1135.6415162454873,340.51432009626956,62.00191116333008,-29.84540367126465,7.5655036772469435,0.8288058509931484,61.982775523000576,-29.70479764512397,0.01913564032950177,-0.1406060261406772,0.14190217516970222
212,7.063634441153889,0.5636344411538889,1135.9889329965113,341.520750631541,62.065956115722656,-30.02651023864746,7.566869168400964,0.8169834950649575,62.02145651996452,-29.699533392475598,0.044499595758139776,-0.3269768461718634,0.3299910179916058
213,7.09695347153669,0.5969534715366898,1136.0669082125603,341.700845410628,62.080257415771484,-30.05887794494629,7.55183518608796,0.8164521503879147,62.031172807478356,-29.698211063779553,0.04908460829312844,-0.3606668811667362,0.3639916179554557
214,7.1302725019194915,0.6302725019194915,1133.6174783351642,341.1478091053338,61.64009094238281,-29.964889526367188,7.512055921070722,0.814407171892853,61.61003464280531,-29.757594836600028,0.030056299577502443,-0.20729468976715992,0.20946233444215132
215,7.163591532302292,0.6635915323022923,1132.6867556838686,341.2800433056658,61.47344970703125,-29.99107551574707,7.566869168400964,0.8169834977335473,61.443105961180514,-29.78179834354286,0.03034374585073607,-0.20927717220421016,0.2114655473547516
216,7.196910562685094,0.696910562685094,1131.4907539118065,341.6712897107634,61.25967788696289,-30.064741134643555,7.622643700407401,0.8453714612655305,61.33107330726268,-29.767357806883364,-0.07139542029978685,-0.2973833277601905,0.30583353261130164
217,7.230229593067896,0.7302295930678957,1128.558125527045,341.53451391398625,60.73359680175781,-30.047191619873047,7.561405724245774,0.8119823967184691,60.829678268584814,-29.64698350818864,-0.0960814668270018,-0.40020811168440673,0.41158010268430956
218,7.2635486234506965,0.7635486234506965,1128.371883740727,341.7021768211115,60.70049285888672,-30.077959060668945,7.525796660413736,0.8403881891002117,60.805362445523336,-29.64114579556203,-0.10486958663661738,-0.43681326510691676,0.4492253986304654
219,7.296867653833498,0.7968676538334982,1126.0605730866885,340.9359206867368,60.284698486328125,-29.94508171081543,7.547729811940535,0.7962463768461882,60.23842626949565,-29.66095964448671,0.0462722168324774,-0.2841220663287203,0.2878653619758611
220,7.3301866842163,0.8301866842162999,1124.4711843711843,340.7564102564103,59.999385833740234,-29.916519165039062,7.510680464514091,0.8398602393114104,59.96352215392036,-29.707804842627436,0.03586367981987593,-0.2087143224116268,0.2117731614486762
221,7.363505714599101,0.8635057145991007,1123.7729397293972,340.5382533825338,59.8737907409668,-29.8787841796875,7.483118241403906,0.7978996111045473,59.847827133242454,-29.727684883107663,0.025963607724342808,-0.15109929657983656,0.15331375134991956
222,7.3968247449819025,0.8968247449819025,1123.5167452545036,341.10712126707773,59.82886505126953,-29.982263565063477,7.547729811940535,0.7962463755591157,59.786918814517634,-29.738150846419977,0.04194623675189746,-0.2441127186434997,0.24769034333450846
223,7.430143775364703,0.9301437753647033,1121.581321628871,341.6096074128261,59.482723236083984,-30.077850341796875,7.516180780494436,0.8274682265911187,59.33533788301031,-29.819610103148133,0.1473853530736733,-0.25824023864874235,0.29733897013007016
224,7.463462805747505,0.963462805747505,1120.9272197962155,341.7058466763707,59.36561965942383,-30.096847534179688,7.535400269575277,0.831705440886768,59.33533788301031,-29.819610103148133,0.030281776413517036,-0.27723743103155485,0.2788863193986653
225,7.496781836130307,0.9967818361303067,1117.6002170767003,340.8897732754462,58.76755905151367,-29.95745277404785,7.557305549127712,0.7919649716942939,58.821701305805156,-29.70808867022907,-0.05414225429148445,-0.24936410381878105,0.25517413656777127
226,7.5301008665131075,1.0301008665131075,1114.3685158501441,340.3290105667627,58.18703842163086,-29.863977432250977,7.573692931324687,0.7954033132719668,58.15976408414179,-29.726860078270622,0.027274337489068046,-0.1371173539803543,0.13980364175528964
227,7.563419896895909,1.0634198968959092,1114.7378988884905,340.56651129437074,58.25371170043945,-29.9060115814209,7.591406009059102,0.8277848566350647,58.21585687613398,-29.71570252822252,0.0378548243054766,-0.19030905319837998,0.1940374279680658
228,7.59673892727871,1.09673892727871,1114.0273711769605,340.454837558015,58.1260871887207,-29.887561798095703,7.6077199376356965,0.8089539761920357,58.12239146876316,-29.734293953670754,0.0036957199575411437,-0.15326784442494912,0.15331239506535332
229,7.630057957661512,1.1300579576615117,1112.0839067970542,340.2167089218882,57.77714157104492,-29.849266052246094,7.553203148273999,0.7974016102158548,57.8133260055628,-29.671413874510193,-0.03618443451787812,-0.17785217773590034,0.18149575870190712
230,7.663376988044313,1.1633769880443134,1109.7951515151515,339.98145454545454,57.366294860839844,-29.812332153320312,7.538141910659106,0.7756320670676011,57.4115938430725,-29.589680542299092,-0.0452989822326586,-0.22265161102122022,0.22721297868224755
231,7.696696018427114,1.1966960184271143,1108.9383914658995,340.1875824044109,57.21302795410156,-29.851701736450195,7.580510551690959,0.8160907283245619,57.161106422570306,-29.61256566151904,0.05192153153125645,-0.23913607493115663,0.24470780079521579
232,7.730015048809916,1.230015048809916,1108.0740203193034,340.08647798742135,57.057838439941406,-29.835538864135742,7.5463608575786925,0.7896727431220962,57.01625475868965,-29.644016040704614,0.041583681251758264,-0.19152282343112859,0.19598518934215178
233,7.763334079192717,1.2633340791927168,1107.8152697495182,339.66630539499033,57.01066970825195,-29.760196685791016,7.562771955302954,0.8058111288410513,56.98683147945131,-29.65040446085898,0.023838228800642014,-0.10979222493203622,0.11235031734658604
234,7.7966531095755185,1.2966531095755185,1107.8963178294573,339.7767684108527,57.025413513183594,-29.779972076416016,7.540882554963675,0.7885266275664454,56.99681116722217,-29.648237658240777,0.02860234596142419,-0.13173441817523823,0.13480375041691361
235,7.82997213995832,1.3299721399583202,1107.1345134874757,340.29828998073214,56.889766693115234,-29.876131057739258,7.562771955302954,0.8282074352162581,56.910297521407216,-29.667021612064385,-0.020530828291981607,-0.20910944567487277,0.21011490946814648
236,7.863291170341121,1.363291170341121,1109.328748944384,341.8318253106526,57.28607940673828,-30.148021697998047,7.555938329659423,0.8239498424152172,57.16942820236998,-29.610758826007547,0.11665120436830279,-0.5372628719904995,0.5497807718537048
237,7.896610200723923,1.3966102007239227,1109.3397412646596,342.80304678998914,57.28984832763672,-30.323579788208008,7.547729811940535,0.8052666135172107,57.13662607199263,-29.617880866658126,0.15322225564408853,-0.7056989215498817,0.7221412794608327
238,7.929929231106724,1.4299292311067244,1107.778943560058,342.58876025084413,57.009578704833984,-30.288660049438477,7.557305549127712,0.8046466605860221,56.910297521407216,-29.667021612064385,0.0992811834267684,-0.6216384373740915,0.6295165607063264
239,7.963248261489525,1.4632482614895252,1105.9011279097672,342.369690424766,56.67245101928711,-30.2536563873291,7.576420715649159,0.8087222975264832,56.4847255011191,-29.763318728799288,0.18772551816800842,-0.49033765852981404,0.5250446548094245
240,7.996567291872327,1.496567291872327,1102.171073282627,341.4771218157672,56.00190353393555,-30.101417541503906,7.553203148273999,0.8564034121964474,56.078519837630935,-29.68803295908261,-0.07661630369538841,-0.4133845824212976,0.420424631742212
