frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.5469934940338135,0.18027783899072014,0.03721284866333008
2,0.06663806076560272,5.551527500152588,0.18013060368925746,0.039656054228544235
4,0.13327612153120544,5.550126314163208,0.18017607949716904,0.03707326948642731
6,0.19991418229680816,5.548462867736816,0.18023009684624489,0.039521608501672745
8,0.2665522430624109,5.549978017807007,0.18018089383264538,0.03960895910859108
10,0.3331903038280136,5.549044609069824,0.18021120218884457,0.03995485603809357
12,0.3998283645936163,5.548455715179443,0.1802303291822631,0.03803843632340431
14,0.46646642535921906,5.549527168273926,0.18019553192151158,0.03652568161487579
16,0.5331044861248218,5.550904035568237,0.18015083553820285,0.03757638856768608
18,0.5997425468904245,5.550171613693237,0.18017460893151957,0.03838616609573364
20,0.6663806076560272,5.5511393547058105,0.18014319873852208,0.03554100543260574
22,0.73301866842163,5.548921823501587,0.18021518987069832,0.0375404916703701
24,0.7996567291872326,5.550271034240723,0.18017138151106527,0.03629906475543976
26,0.8662947899528354,5.550414085388184,0.18016673794349206,0.03559727966785431
28,0.9329328507184381,5.5524516105651855,0.18010062403735377,0.036955758929252625
30,0.9995709114840409,5.553183078765869,0.18007690108827432,0.036025289446115494
32,1.0662089722496435,5.553577899932861,0.18006409885996003,0.03966495394706726
34,1.1328470330152463,5.55088996887207,0.18015129206446837,0.037775423377752304
36,1.199485093780849,5.5541722774505615,0.18004482937266994,0.0394478514790535
38,1.2661231545464517,5.5534985065460205,0.18006667307486982,0.03745653107762337
40,1.3327612153120545,5.550623178482056,0.18015995102616078,0.03689081594347954
42,1.3993992760776572,5.55250358581543,0.18009893817171518,0.035978954285383224
44,1.46603733684326,5.549541711807251,0.1801950596879724,0.03683152794837952
46,1.5326753976088627,5.552391767501831,0.1801025651419274,0.03524415194988251
48,1.5993134583744653,5.550066947937012,0.1801780067484961,0.038335833698511124
50,1.665951519140068,5.548347473144531,0.18023384527379807,0.03748268634080887
52,1.7325895799056708,5.554499864578247,0.18003421088856755,0.03629593551158905
54,1.7992276406712735,5.5558459758758545,0.1799905908734906,0.03470872715115547
56,1.8658657014368762,5.5523388385772705,0.1801042820103248,0.03703520447015762
58,1.932503762202479,5.5506322383880615,0.18015965696376351,0.038304220885038376
