Test ID,Friction Level,Cycle Duration Setting (s),Cycle Number,Cycle Start Time (s),Cycle End Time (s),Measured Cycle Duration (s),Centroid Start X (mm),Centroid End X (mm),Net Advance (mm),Total Forward Movement (mm),Total Backward Movement (mm),Maximum Backward Excursion (mm),Vertical Peak-to-Peak (mm),Mean Pitch Angle (deg),Pitch Peak-to-Peak (deg)
high_6p0s_rep3,High,6.0,1,1.2344117630015934,7.23965817760394,6.005246414602347,16.67707845899794,-124.5854534573025,141.26253191630045,142.72777430216473,1.496259784698477,0.38378550211587026,3.962921142578125,0.5716658485862751,0.4219847032047107
high_6p0s_rep3,High,6.0,2,7.23965817760394,13.244904592206288,6.005246414602347,-126.24542914496529,-268.42975976732043,142.18433062235516,147.01666984558108,5.090304650200721,1.1119065602620708,3.7668863932291856,0.4964947841225798,0.3122635047027743
high_6p0s_rep3,High,6.0,3,13.244904592206288,19.21678852672751,5.971883934521222,-269.4119170506795,-415.35983276367193,145.94791571299243,152.41264858245864,6.483123779296875,0.9509999593098541,4.7967529296875,0.4395239064443859,0.6747277372002874
