Frame Number,Video Time (s),LED Score,LED Score Smoothed,LED Detected,Detection Threshold,Required Peak Threshold
0,0.0,67.8783950805664,68.12762069702148,False,78.86097717285156,93.86097717285156
1,0.03331914600550964,68.37684631347656,68.37684631347656,False,78.86097717285156,93.86097717285156
2,0.06663829201101928,69.97315979003906,69.42340850830078,False,78.86097717285156,93.86097717285156
3,0.09995743801652893,69.42340850830078,69.77696228027344,False,78.86097717285156,93.86097717285156
4,0.13327658402203857,69.77696228027344,69.42340850830078,False,78.86097717285156,93.86097717285156
5,0.1665957300275482,69.2342300415039,69.2342300415039,False,78.86097717285156,93.86097717285156
6,0.19991487603305785,68.18989562988281,68.95591735839844,False,78.86097717285156,93.86097717285156
7,0.2332340220385675,68.95591735839844,68.95591735839844,False,78.86097717285156,93.86097717285156
8,0.26655316804407714,69.00836944580078,68.95591735839844,False,78.86097717285156,93.86097717285156
9,0.29987231404958675,68.71575927734375,68.71575927734375,False,78.86097717285156,93.86097717285156
10,0.3331914600550964,68.24414825439453,68.24414825439453,False,78.86097717285156,93.86097717285156
11,0.36651060606060604,67.49901580810547,67.49901580810547,False,78.86097717285156,93.86097717285156
12,0.3998297520661157,66.82487487792969,67.49901580810547,False,78.86097717285156,93.86097717285156
13,0.4331488980716253,67.81797790527344,67.81797790527344,False,78.86097717285156,93.86097717285156
14,0.466468044077135,69.21452331542969,69.21452331542969,False,78.86097717285156,93.86097717285156
15,0.4997871900826446,69.97931671142578,69.59014892578125,False,78.86097717285156,93.86097717285156
16,0.5331063360881543,69.59014892578125,69.59014892578125,False,78.86097717285156,93.86097717285156
17,0.566425482093664,68.05197143554688,68.2635498046875,False,78.86097717285156,93.86097717285156
18,0.5997446280991735,68.2635498046875,68.2635498046875,False,78.86097717285156,93.86097717285156
19,0.6330637741046832,68.45073699951172,68.2635498046875,False,78.86097717285156,93.86097717285156
20,0.6663829201101928,68.00542449951172,68.00542449951172,False,78.86097717285156,93.86097717285156
21,0.6997020661157025,67.89039611816406,67.92364501953125,False,78.86097717285156,93.86097717285156
22,0.7330212121212121,67.92364501953125,67.89039611816406,False,78.86097717285156,93.86097717285156
