Test ID,Frame Number,Video Time (s),Elapsed Experiment Time (s),LED Detected,Marker 1 X (mm),Marker 1 Y (mm),Marker 2 X (mm),Marker 2 Y (mm),Marker 3 X (mm),Marker 3 Y (mm),Object Centroid X (mm),Object Centroid Y (mm),Pitch Angle (deg),Forward Velocity (mm/s),Number of Markers Detected,Interpolated Frame,Finish Line Crossed,Finish Crossing Frame (interpolated)
high_3p0s_rep1,44,1.4695369928400954,0.0,True,-236.5037384033203,-328.9000549316406,16.2879581451416,-332.3919677734375,267.7005920410156,-335.3923034667969,15.82827059427897,-332.2281087239583,0.7377125949573046,-7.510217894061255,3,False,False,371.89269143365726
high_3p0s_rep1,45,1.5029355608591886,0.03339856801909313,True,-236.67840576171875,-328.94366455078125,16.184127807617188,-332.4327392578125,267.68145751953125,-335.40240478515625,15.729059855143229,-332.2596028645833,0.7336791779552078,-5.174626464029598,3,False,False,371.89269143365726
high_3p0s_rep1,46,1.5363341288782817,0.06679713603818627,True,-236.12506103515625,-328.5887145996094,16.589298248291016,-332.1701354980469,268.0378112792969,-335.11383056640625,16.167349497477215,-331.9575602213542,0.7415078607723006,5.74683179215203,3,False,False,371.89269143365726
high_3p0s_rep1,47,1.5697326968973748,0.1001957040572794,True,-235.06346130371094,-327.8751220703125,17.732807159423828,-331.2533264160156,269.0634460449219,-334.2783203125,17.244263966878254,-331.1355895996094,0.7277066585596296,17.19141045314545,3,False,False,371.89269143365726
high_3p0s_rep1,48,1.6031312649164677,0.1335942720763723,True,-236.7449188232422,-327.921875,16.126632690429688,-331.4464416503906,267.55841064453125,-334.39056396484375,15.646708170572916,-331.2529602050781,0.734891543117282,27.87801776764411,3,False,False,371.89269143365726
high_3p0s_rep1,49,1.6365298329355609,0.16699284009546544,False,-238.53732299804688,-328.2025451660156,14.265101432800293,-331.57427978515625,265.89935302734375,-334.4476318359375,13.875710487365723,-331.4081522623698,0.7093037568791191,40.98769085204287,3,False,False,371.89269143365726
high_3p0s_rep1,50,1.669928400954654,0.20039140811455858,False,-240.4443359375,-328.1576843261719,12.318401336669922,-331.54827880859375,263.94573974609375,-334.3931579589844,11.939935048421225,-331.3663736979167,0.7082774643992833,48.737928500585944,3,False,False,371.89269143365726
high_3p0s_rep1,51,1.7033269689737471,0.2337899761336517,False,-241.68409729003906,-328.1105041503906,11.080111503601074,-331.21124267578125,262.54083251953125,-334.24700927734375,10.645615577697754,-331.18958536783856,0.6972651823379242,48.66172456166615,3,False,False,371.89269143365726
high_3p0s_rep1,52,1.73672553699284,0.2671885441527446,False,-243.35537719726562,-328.0570373535156,9.556107521057129,-331.2707214355469,261.02935791015625,-334.22381591796875,9.076696077982584,-331.18385823567706,0.700482699517021,46.672708668685395,3,False,False,371.89269143365726
high_3p0s_rep1,53,1.7701241050119332,0.30058711217183776,False,-244.90167236328125,-328.0146789550781,7.998738765716553,-331.1851501464844,259.512451171875,-334.1712646484375,7.5365058581034345,-331.1236979166667,0.6992842687663122,45.253880501225034,3,False,False,371.89269143365726
high_3p0s_rep1,54,1.8035226730310263,0.3339856801909309,False,-246.73080444335938,-328.00054931640625,6.162542343139648,-331.1622009277344,257.76904296875,-333.97625732421875,5.733593622843425,-331.0463358561198,0.678626246344673,46.20936952677219,3,False,False,371.89269143365726
high_3p0s_rep1,55,1.8369212410501194,0.367384248210024,False,-247.96531677246094,-327.97320556640625,4.915074825286865,-331.08905029296875,256.5323486328125,-333.9669494628906,4.494035561879476,-331.0097351074219,0.680677228140033,45.62495245604601,3,False,False,371.89269143365726
high_3p0s_rep1,56,1.8703198090692124,0.40078281622911693,False,-249.4989013671875,-327.81927490234375,3.40667986869812,-331.0141906738281,255.02432250976562,-333.8504638671875,2.9773670037587485,-330.89464314778644,0.6848945648210373,43.795121458348994,3,False,False,371.89269143365726
high_3p0s_rep1,57,1.9037183770883055,0.43418138424821007,False,-251.24037170410156,-327.7738952636719,1.7489804029464722,-330.8912658691406,253.42642211914062,-333.6660461425781,1.3116769393285115,-330.7770690917969,0.6689166860607597,44.62722726743029,3,False,False,371.89269143365726
high_3p0s_rep1,58,1.9371169451073986,0.4675799522673032,False,-252.41802978515625,-327.43145751953125,0.48815369606018066,-330.7809143066406,252.12020874023438,-333.53314208984375,0.06344421704610188,-330.5818379720052,0.6928785668889366,47.59193855097281,3,False,False,371.89269143365726
high_3p0s_rep1,59,1.9705155131264918,0.5009785202863963,False,-253.9655303955078,-327.5235595703125,-0.9379274845123291,-330.65301513671875,250.64259338378906,-333.3401184082031,-1.4202881654103596,-330.5055643717448,0.6604125023079335,48.6233581075627,3,False,False,371.89269143365726
high_3p0s_rep1,60,2.003914081145585,0.5343770883054895,False,-255.7687225341797,-327.6693420410156,-2.810210704803467,-330.6673889160156,248.80812072753906,-333.4488525390625,-3.2569375038146973,-330.59519449869794,0.6562470772075935,49.97696267247205,3,False,False,371.89269143365726
high_3p0s_rep1,61,2.037312649164678,0.5677756563245826,False,-257.736328125,-327.4953308105469,-4.77616548538208,-330.5987854003906,247.01243591308594,-333.4094543457031,-5.166685899098714,-330.5011901855469,0.6713019163347863,52.636119951476516,3,False,False,371.89269143365726
