frame,video_time_s,tracking_time_s,x_px,y_px,x_measured_mm,y_measured_mm,dot_diameter_mm,dot_circularity
195,6.510607731958763,0.010607731958763189,1121.7244346116026,342.0907079646018,68.58619689941406,-29.99526596069336,7.567913339621603,0.768443576490017
196,6.5439954639175255,0.04399546391752551,1115.5001849796522,341.6517449747194,67.46037292480469,-29.90326690673828,7.555345525790921,0.7683954780856577
197,6.577383195876289,0.07738319587628872,1110.4491493383744,341.51758034026466,66.54611206054688,-29.869169235229492,7.4738460173137184,0.8032346853607554
198,6.610770927835052,0.11077092783505194,1107.5183800623051,341.0376323987539,66.01658630371094,-29.775920867919922,7.516111270483902,0.7813159975208172
199,6.644158659793814,0.14415865979381426,1102.7024864598718,340.91420482520925,65.14476776123047,-29.744226455688477,7.562330223155564,0.7846742699778493
200,6.6775463917525775,0.17754639175257747,1099.4473070788858,340.7491105385842,64.55563354492188,-29.707876205444336,7.574886448388898,0.7935833888837608
201,6.710934123711341,0.21093412371134068,1096.347181008902,340.829253214639,63.99398422241211,-29.71662712097168,7.545556087402734,0.8198677123806896
202,6.744321855670103,0.244321855670103,1091.9670549918576,341.35475385193536,63.19943618774414,-29.804323196411133,7.496417140100881,0.8080935719262646
203,6.777709587628866,0.2777095876288662,1088.0183416125335,341.4590498025729,62.48396682739258,-29.815876007080078,7.434181656828302,0.7819420213199209
204,6.811097319587629,0.31109731958762943,1086.0524132730015,341.5140774258421,62.12773513793945,-29.822195053100586,7.483729259965554,0.8119603512365345
205,6.844485051546392,0.34448505154639175,1084.7684976172561,341.6736894908452,61.89481735229492,-29.848918914794922,7.492190234131831,0.7878148287728421
206,6.877872783505155,0.37787278350515496,1082.1218424962854,341.6724863793957,61.415374755859375,-29.84367561340332,7.5399564160656745,0.771334913302642
207,6.911260515463917,0.4112605154639173,1079.342962962963,341.78308641975303,60.9117317199707,-29.858606338500977,7.551151606219478,0.7912337903917358
208,6.9446482474226805,0.4446482474226805,1077.4395006797674,342.02434804103325,60.56633377075195,-29.899078369140625,7.546955356044787,0.7631628208914786
209,6.978035979381444,0.4780359793814437,1074.9107611548557,342.3944506936633,60.10738754272461,-29.961902618408203,7.504863809980437,0.754673801749193
210,7.011423711340206,0.511423711340206,1071.8683946907088,342.58890558477333,59.555763244628906,-29.99165916442871,7.497825579219013,0.759216390755678
211,7.044811443298969,0.5448114432989692,1071.6142010341782,343.04969100769324,59.50868225097656,-30.075376510620117,7.471019832294041,0.8158635169449971
212,7.0781991752577325,0.5781991752577325,1067.463451394122,342.7773172569706,58.757259368896484,-30.01772689819336,7.4865506471571965,0.7994431368635604
213,7.111586907216495,0.6115869072164948,1057.772315332092,341.0785847299814,57.004940032958984,-29.688875198364258,7.53014697135597,0.8328298373803446
214,7.144974639175258,0.644974639175258,1051.1749566938875,340.0025983667409,55.81163024902344,-29.479665756225586,7.542756771377106,0.7842684902809944
215,7.178362371134021,0.6783623711340212,1043.7081942899517,340.2544802867383,54.457733154296875,-29.511503219604492,7.546955356044787,0.7464706447029918
216,7.2117501030927835,0.7117501030927835,1039.0679883085525,339.90329139661964,53.61734390258789,-29.438474655151367,7.442698957681831,0.7837347810172535
217,7.245137835051547,0.7451378350515467,1034.7056898288015,339.4475075528701,52.827491760253906,-29.346853256225586,7.478083292160769,0.7601862601916047
218,7.278525567010309,0.7785255670103091,1031.187476280835,339.4096141682479,52.18973922729492,-29.33322525024414,7.4597043849330795,0.8173209032303005
219,7.311913298969072,0.8119132989690723,1025.913492656211,338.5490415733134,51.235294342041016,-29.165847778320312,7.520324731304696,0.7796106212190186
220,7.3453010309278355,0.8453010309278355,1023.231884057971,338.13168415792103,50.74992752075195,-29.084430694580078,7.506270664207807,0.7766994551112446
221,7.378688762886598,0.8786887628865978,1019.4055700609224,337.9184383936342,50.0565299987793,-29.038143157958984,7.524535832744167,0.7779122375264058
222,7.412076494845361,0.912076494845361,1013.8444277297228,338.2472107308512,49.047367095947266,-29.08765983581543,7.493599467706625,0.7766427043105538
223,7.445464226804124,0.9454642268041242,1009.452624920936,337.829348513599,48.251712799072266,-29.00287628173828,7.4597043849330795,0.8040294858726132
224,7.4788519587628866,0.9788519587628866,1006.3483596293512,337.73691460055096,47.68887710571289,-28.980052947998047,7.497825579219013,0.759216390755678
225,7.51223969072165,1.0122396907216498,1002.8713318284424,337.7879357913218,47.05810546875,-28.982751846313477,7.492190234131831,0.7615929406602989
226,7.545627422680413,1.045627422680413,997.7089184060721,337.68399746995567,46.121883392333984,-28.953895568847656,7.4597043849330795,0.7660441107208912
227,7.579015154639175,1.0790151546391753,991.3693081761006,337.3454088050314,44.972476959228516,-28.8798770904541,7.480906808701691,0.7854436780466636
228,7.6124028865979385,1.1124028865979385,987.6473557995708,337.43985863940424,44.297035217285156,-28.89004898071289,7.468192577762414,0.7765152339650362
229,7.645790618556701,1.1457906185567008,982.6379901027789,337.1318360614135,43.38874816894531,-28.824153900146484,7.448371747345102,0.7760379132179659
230,7.679178350515464,1.179178350515464,976.9771106941839,336.850406504065,42.36209487915039,-28.761869430541992,7.502049310046477,0.8038750089933975
231,7.712566082474227,1.2125660824742273,971.4523270440251,336.83911949685535,41.35953903198242,-28.74925422668457,7.480906808701691,0.7765813127918888
232,7.74595381443299,1.2459538144329896,969.6378816199376,336.7347040498442,41.03044509887695,-28.72669219970703,7.516111270483902,0.8201526457858578
233,7.779341546391753,1.2793415463917528,966.407028188598,336.9308557704462,40.443729400634766,-28.75640106201172,7.4625348553005155,0.7753391412214315
234,7.812729278350516,1.312729278350516,961.6567087961189,336.9463806970509,39.58153533935547,-28.75016975402832,7.4256545865510475,0.7801492616225881
235,7.846117010309278,1.3461170103092783,955.7430167597765,336.97777777777776,38.50807189941406,-28.74462127685547,7.53014697135597,0.7718565783329637
236,7.8795047422680415,1.3795047422680415,950.7108192620386,337.23064415259535,37.59413528442383,-28.781272888183594,7.502049310046477,0.7835717904266648
237,7.912892474226805,1.4128924742268048,945.0926835411157,337.43646895856944,36.573856353759766,-28.808197021484375,7.4766711340342775,0.8170982692941542
238,7.946280206185567,1.446280206185567,940.1783647798742,337.55798742138364,35.68141555786133,-28.821046829223633,7.480906808701691,0.8020449133904612
239,7.97966793814433,1.4796679381443303,932.8626865671641,338.24004975124376,34.3519287109375,-28.931873321533203,7.523132394173208,0.7678965692135444
240,8.013055670103093,1.5130556701030926,929.3843945068663,338.2142322097378,33.72037124633789,-28.92051124572754,7.50908358192476,0.7861224950734839
241,8.046443402061856,1.5464434020618558,922.6949088145897,338.98163627152985,32.5042839050293,-29.048158645629883,7.455456664525112,0.7677040224968198
242,8.079831134020619,1.579831134020619,919.7755614101115,338.9972399949818,31.974082946777344,-29.045446395874023,7.490780735439247,0.7724399249280486
243,8.113218865979382,1.6132188659793822,920.1408090117767,337.2735535074244,32.04328536987305,-28.730731964111328,7.415693945465803,0.7843820365320897
