frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.4873998165130615,0.18223567325834927,0.038576092571020126
2,0.06677546391752577,5.490007400512695,0.18214911694046404,0.04255521297454834
4,0.13355092783505154,5.493232727050781,0.182042168917333,0.038875896483659744
6,0.20032639175257733,5.495111703872681,0.18197992213611416,0.04086296260356903
8,0.2671018556701031,5.490741014480591,0.18212478012762315,0.038350243121385574
10,0.3338773195876289,5.492720365524292,0.18205914982976706,0.04186209291219711
12,0.40065278350515465,5.492021560668945,0.1820823150370511,0.03920861706137657
14,0.4674282474226804,5.4937779903411865,0.1820241010390549,0.03954923152923584
16,0.5342037113402062,5.4935009479522705,0.18203328068465247,0.03995213285088539
18,0.6009791752577319,5.489624738693237,0.18216181389441244,0.038932278752326965
20,0.6677546391752578,5.493305683135986,0.182039751232108,0.04058242216706276
22,0.7345301030927835,5.490110158920288,0.18214570765491978,0.039048559963703156
24,0.8013055670103093,5.490677118301392,0.18212689955248404,0.041772015392780304
26,0.8680810309278351,5.491079807281494,0.18211354325499718,0.03999314457178116
28,0.9348564948453608,5.488579273223877,0.18219651210624144,0.041370656341314316
30,1.0016319587628866,5.490243434906006,0.1821412860570399,0.03983624652028084
32,1.0684074226804123,5.48924994468689,0.18217425150551067,0.03934869170188904
34,1.135182886597938,5.48405647277832,0.18234677286125434,0.03789072483778
36,1.2019583505154638,5.492845773696899,0.18205499320381627,0.039475664496421814
38,1.2687338144329898,5.492647886276245,0.182061552224851,0.03909044712781906
40,1.3355092783505156,5.491293668746948,0.18210645074245116,0.04225285351276398
42,1.4022847422680413,5.489538192749023,0.18216468578738954,0.04122387617826462
44,1.469060206185567,5.487531661987305,0.18223129479636585,0.042292412370443344
46,1.5358356701030929,5.492897272109985,0.18205328635535728,0.04033324494957924
48,1.6026111340206186,5.489855527877808,0.1821541559558246,0.03942561894655228
50,1.6693865979381444,5.489337682723999,0.18217133974963723,0.03981901705265045
52,1.7361620618556701,5.492676734924316,0.18206059600079105,0.04028256610035896
54,1.8029375257731959,5.489767074584961,0.1821570908954461,0.03886181116104126
56,1.8697129896907216,5.488313674926758,0.1822053292195157,0.0398874469101429
58,1.9364884536082474,5.488600492477417,0.18219580772376912,0.037681106477975845
