frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.523092985153198,0.1810579692734002,0.04078090935945511
2,0.06663808510638299,5.524506568908691,0.1810116410446299,0.04119114577770233
4,0.13327617021276597,5.5219244956970215,0.18109628278678083,0.04030362144112587
6,0.19991425531914894,5.5191826820373535,0.18118624760412164,0.040312524884939194
8,0.26655234042553194,5.519986391067505,0.181159866918913,0.039162687957286835
10,0.3331904255319149,5.518372297286987,0.18121285519130936,0.03935642167925835
12,0.3998285106382979,5.5217108726501465,0.18110328901014147,0.03965425491333008
14,0.46646659574468086,5.522207260131836,0.1810870097577841,0.0387868694961071
16,0.5331046808510639,5.524219274520874,0.18102105479633263,0.03958621248602867
18,0.5997427659574468,5.521396636962891,0.18111359602487492,0.03918391838669777
20,0.6663808510638298,5.525289297103882,0.18098599842078075,0.03940264880657196
22,0.7330189361702129,5.525262832641602,0.18098686529304975,0.03992442041635513
24,0.7996570212765958,5.520604133605957,0.1811395955585061,0.040724705904722214
26,0.8662951063829788,5.521072626113892,0.18112422489610835,0.04024104028940201
28,0.9329331914893617,5.521888494491577,0.18109746348510322,0.03925401344895363
30,0.9995712765957447,5.525733470916748,0.1809714502632525,0.04028875008225441
32,1.0662093617021278,5.519874095916748,0.18116355239691725,0.0401875339448452
34,1.1328474468085108,5.52148962020874,0.18111054602728655,0.03949126973748207
36,1.1994855319148936,5.516683578491211,0.18126832648130523,0.0412135124206543
38,1.2661236170212766,5.519683122634888,0.1811698204013273,0.040748480707407
40,1.3327617021276597,5.5178306102752686,0.18123064490921603,0.04115760326385498
42,1.3993997872340427,5.523643493652344,0.18103992430886953,0.040038663893938065
44,1.4660378723404257,5.522597312927246,0.18107421985289585,0.03729039803147316
46,1.5326759574468085,5.521325349807739,0.18111593442592935,0.03924284875392914
48,1.5993140425531915,5.521913766860962,0.1810966346489089,0.0390164814889431
50,1.6659521276595746,5.526341199874878,0.18095154892402246,0.04158700257539749
52,1.7325902127659576,5.519232988357544,0.18118459614033938,0.038017649203538895
54,1.7992282978723406,5.51965856552124,0.18117062643086992,0.03785160928964615
56,1.8658663829787234,5.520735263824463,0.18113529307457768,0.036439765244722366
58,1.9325044680851065,5.52139139175415,0.18111376807908183,0.03749072179198265
