frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.525935649871826,0.18096482901012337,0.03986508399248123
2,0.06670778707577871,5.53070330619812,0.18080883110821097,0.04099423438310623
4,0.13341557415155741,5.530919075012207,0.18080177750526805,0.04454842209815979
6,0.20012336122733612,5.53034782409668,0.18082045321685328,0.0427304245531559
8,0.26683114830311483,5.530358552932739,0.18082010242712054,0.04299042746424675
10,0.33353893537889356,5.5276899337768555,0.18090739748073006,0.04254508391022682
12,0.40024672245467224,5.529971599578857,0.18083275510423172,0.038684532046318054
14,0.466954509530451,5.529295206069946,0.18085487620596213,0.041793208569288254
16,0.5336622966062297,5.525390386581421,0.18098268720134789,0.043858375400304794
18,0.6003700836820084,5.5303263664245605,0.18082115480040198,0.042730141431093216
20,0.6670778707577871,5.529992341995239,0.18083207681969352,0.03967001661658287
22,0.7337856578335659,5.5313615798950195,0.18078731349523874,0.040773916989564896
24,0.8004934449093445,5.527504205703735,0.18091347609796793,0.040573686361312866
26,0.8672012319851232,5.531436920166016,0.18078485110338868,0.0395939014852047
28,0.933909019060902,5.529889106750488,0.18083545269999582,0.043397631496191025
30,1.0006168061366807,5.529739618301392,0.1808403413228301,0.04179580882191658
32,1.0673245932124593,5.52850604057312,0.18088069229934922,0.043677520006895065
34,1.1340323802882382,5.532228231430054,0.18075899224813885,0.04143483191728592
36,1.2007401673640168,5.529248952865601,0.18085638909091584,0.03837185725569725
38,1.2674479544397954,5.530160427093506,0.1808265805636983,0.04083371162414551
40,1.3341557415155743,5.526301622390747,0.18095284483719284,0.03924798592925072
42,1.4008635285913529,5.528541326522827,0.18087953782719562,0.039382584393024445
44,1.4675713156671317,5.530441045761108,0.18081740528930607,0.042707718908786774
46,1.5342791027429104,5.52780556678772,0.18090361318209552,0.040499210357666016
48,1.600986889818689,5.530796051025391,0.1808057991606115,0.040000155568122864
50,1.6676946768944678,5.53250527381897,0.18074994067013722,0.042165737599134445
52,1.7344024639702464,5.530206918716431,0.180825060381665,0.04347185790538788
54,1.8011102510460253,5.5291876792907715,0.18085839331253628,0.04159549996256828
56,1.867818038121804,5.532007455825806,0.18076620611689365,0.040088776499032974
58,1.9345258251975825,5.526666641235352,0.1809408934743483,0.041068632155656815
