frame,video_time_s,tracking_time_s,x_px,y_px,x_measured_mm,y_measured_mm,dot_diameter_mm,dot_circularity
195,6.504009239888425,0.004009239888424609,1087.28715784088,339.80148375543615,61.8212890625,-29.711618423461914,7.365522351758726,0.7724023490526812
196,6.537363133426314,0.03736313342631359,1085.6317338451695,339.88918746001275,61.5232048034668,-29.723472595214844,7.364109030753341,0.7820533060092686
197,6.5707170269642035,0.07071702696420346,1081.5574603174603,340.1813333333333,60.78932571411133,-29.766481399536133,7.392324111232714,0.7754470976503186
198,6.604070920502092,0.10407092050209243,1077.5229276895943,340.4462081128748,60.062652587890625,-29.804641723632812,7.421834504462938,0.7428792974495172
199,6.637424814039981,0.1374248140399814,1075.629529683886,340.91840143921866,59.720558166503906,-29.88564682006836,7.348544559641971,0.7688456229634134
200,6.670778707577871,0.17077870757787128,1073.2070552147238,341.34125766871165,59.28342819213867,-29.95640754699707,7.368348180503304,0.7855869244530298
201,6.70413260111576,0.20413260111576026,1070.9115413819286,341.24715261959,58.870704650878906,-29.933725357055664,7.40498582324253,0.784394347850348
202,6.73748649465365,0.23748649465365013,1061.019175694185,340.39534304569787,57.093353271484375,-29.755016326904297,7.465184259755785,0.798303921603831
203,6.770840388191539,0.2708403881915391,1052.7003831417624,339.0491698595147,55.600440979003906,-29.490463256835938,7.371172925932163,0.8162718514251208
204,6.804194281729429,0.304194281729429,1043.9951892644638,338.244841119129,54.03620147705078,-29.323230743408203,7.40358003569816,0.7569081455309846
205,6.837548175267318,0.33754817526731795,1036.8055449573953,337.7977871041587,52.743534088134766,-29.224510192871094,7.386689717036624,0.7831371957390535
206,6.870902068805207,0.37090206880520693,1033.2790132924335,337.42165132924333,52.10990524291992,-29.147628784179688,7.368348180503304,0.7855869231561858
207,6.904255962343097,0.4042559623430968,1031.9907233295723,337.51711169612634,51.87774658203125,-29.16179084777832,7.440044185237402,0.7766427005231279
208,6.937609855880986,0.4376098558809858,1024.7900811770673,337.14320142059864,50.58272933959961,-29.076297760009766,7.3965470902182435,0.7916113640577311
209,6.970963749418876,0.47096374941887564,1016.6209377007063,336.9898522800257,49.1126594543457,-29.028446197509766,7.349960873533824,0.8010464710307253
210,7.004317642956765,0.5043176429567646,1014.439544989775,337.0778374233129,48.7197380065918,-29.039066314697266,7.368348180503304,0.8078047893885003
211,7.037671536494654,0.5376715364946536,1011.3493840985442,336.9564514122185,48.16378402709961,-29.009462356567383,7.467972377223586,0.808097993490023
212,7.0710254300325435,0.5710254300325435,1006.2924812030075,336.5177944862155,47.254638671875,-28.917469024658203,7.441443084222263,0.783178216065718
213,7.1043793235704324,0.6043793235704324,1001.7018815153825,335.9124078311721,46.42985534667969,-28.796361923217773,7.38809871842608,0.7771446505050386
214,7.137733217108322,0.6377332171083223,995.7399211496883,335.6680656238077,45.357112884521484,-28.737394332885742,7.386689717036624,0.7959463555124914
215,7.171087110646211,0.6710871106462113,990.6552944149607,335.4495830174375,44.44220733642578,-28.685274124145508,7.410606306650001,0.7523714646181363
216,7.204441004184101,0.7044410041841012,985.9527213443691,335.26348131427136,43.59596633911133,-28.639963150024414,7.438645023177971,0.7915414476704918
217,7.23779489772199,0.7377948977219901,978.2824880629759,335.2641631178216,42.21479415893555,-28.62126350402832,7.332947052397441,0.8481980362434864
218,7.271148791259879,0.7711487912598791,971.2088736333587,335.1299262649377,40.94133758544922,-28.57954216003418,7.38809871842608,0.8160687125070407
219,7.304502684797769,0.804502684797769,968.67263264788,335.2055090124397,40.48439025878906,-28.5870361328125,7.393732038892606,0.8173136699616628
220,7.337856578335658,0.837856578335658,964.5074984247005,335.1891619407687,39.734336853027344,-28.5738468170166,7.420431908871756,0.8032346853607554
221,7.371210471873548,0.8712104718735478,959.0649383657388,335.1447452026941,38.75425720214844,-28.55242919921875,7.389507451152856,0.7837347823058136
222,7.404564365411437,0.9045643654114368,954.2805534204458,335.3809889828337,37.8919563293457,-28.58356285095215,7.359867439330648,0.7712167749524695
223,7.437918258949327,0.9379182589493267,948.2902564102563,335.44974358974355,36.8128547668457,-28.581340789794922,7.357038353145271,0.7922396264532617
224,7.471272152487216,0.9712721524872157,941.5359602142311,335.56095383830655,35.59597396850586,-28.58494758605957,7.376819171820143,0.8003259255655696
225,7.504626046025105,1.0046260460251046,935.7673769660071,335.824200913242,34.55622863769531,-28.61857032775879,7.3965470902182435,0.8084808471035035
226,7.5379799395629945,1.0379799395629945,929.6909458775922,336.48128477491144,33.459999084472656,-28.722929000854492,7.407796597996723,0.797807693659942
227,7.5713338331008835,1.0713338331008835,921.2192008170559,337.1254947019022,31.932281494140625,-28.81907081604004,7.372584892792338,0.7555357026118387
228,7.604687726638773,1.1046877266387733,917.7017410090227,337.4457999745838,31.29783058166504,-28.868579864501953,7.389507451152856,0.771222816618815
229,7.638041620176662,1.1380416201766623,912.5075613165585,336.5919430677341,30.364137649536133,-28.700847625732422,7.389507451152856,0.7540334469152195
230,7.671395513714552,1.1713955137145522,908.0101282051281,335.71474358974353,29.555957794189453,-28.53057289123535,7.357038353145271,0.7922396264532617
231,7.704749407252441,1.2047494072524412,905.3104550102249,335.5607106339468,29.069908142089844,-28.49597930908203,7.368348180503304,0.7855869244530298
232,7.73810330079033,1.2381033007903302,900.844494892168,335.62151595409256,28.26508903503418,-28.496055603027344,7.417625922040904,0.7597828441467498
233,7.77145719432822,1.27145719432822,895.7176621708412,335.60693641618496,27.341339111328125,-28.48082160949707,7.349960873533824,0.8143664204119779
234,7.804811087866109,1.304811087866109,890.1921730432607,335.4581145286321,26.346031188964844,-28.44023323059082,7.449830961862573,0.8436182829294939
235,7.838164981403999,1.3381649814039989,883.9000486973459,335.71329437545654,25.211572647094727,-28.471113204956055,7.549758643533505,0.7722474895413601
236,7.871518874941888,1.3715188749418878,879.5786327979081,335.48748599178185,24.433330535888672,-28.41950798034668,7.465184259755785,0.7871000686574791
237,7.904872768479777,1.4048727684797768,876.4663928304705,334.82101070450585,23.873971939086914,-28.29085922241211,7.4665784486296,0.7553246093116496
238,7.938226662017667,1.4382266620176667,875.4247311827955,334.0840210052513,23.687923431396484,-28.15448570251465,7.449830961862573,0.7725042849929639
239,7.971580555555556,1.4715805555555557,866.6604609929077,335.23543566362713,22.105749130249023,-28.34202003479004,7.4021739811729566,0.7801085889127617
240,8.004934449093446,1.5049344490934455,863.9545983701979,335.06958996248864,21.618425369262695,-28.30525779724121,7.324425321392623,0.778863873199692
241,8.038288342631335,1.5382883426313345,859.8631687242797,335.2620884773662,20.88055992126465,-28.330162048339844,7.345711112627194,0.8162218807410742
242,8.071642236169223,1.5716422361692235,855.7818090199042,334.77311665406904,20.145986557006836,-28.23134994506836,7.421834504462938,0.7266933501999584
243,8.104996129707114,1.6049961297071142,854.1767523953605,333.4873928391326,19.8594913482666,-27.993940353393555,7.419029048114562,0.8189554703675368
244,8.138350023245003,1.6383500232450032,849.9387703252031,333.3612804878049,19.095827102661133,-27.96061897277832,7.390915915370575,0.8033876148389208
245,8.171703916782892,1.6717039167828922,840.3881774673391,334.9170870521278,17.37080955505371,-28.219676971435547,7.324425321392623,0.7916772347127726
246,8.205057810320781,1.7050578103207812,834.8409983529709,335.1904218928164,16.37021255493164,-28.255685806274414,7.400767659514749,0.7989831596159346
247,8.23841170385867,1.7384117038586702,828.5447904652057,335.8679994873766,15.2337007522583,-28.363262176513672,7.35845303219943,0.7990502460438751
248,8.271765597396561,1.771765597396561,825.724517906336,335.09328825444527,14.72685718536377,-28.215646743774414,7.444240093561486,0.8018529113857229
249,8.30511949093445,1.80511949093445,819.92743849132,336.1285125515174,13.679533004760742,-28.389400482177734,7.454021361160008,0.7795635117731733
250,8.338473384472339,1.8384733844723389,817.4640397857689,337.1893649579189,13.233222007751465,-28.57599449157715,7.376819171820143,0.7873942550346127
251,8.371827278010228,1.8718272780102279,809.3428318135764,341.5362208713272,11.76020336151123,-29.345352172851562,7.4021739811729566,0.8288178974191772
252,8.405181171548117,1.9051811715481168,804.1617386909275,344.873262572656,10.819433212280273,-29.938495635986328,7.410606306650001,0.8115572568877293
253,8.438535065086008,1.9385350650860076,801.2318672839506,347.0379372427983,10.286927223205566,-30.324277877807617,7.345711112627194,0.8439899812611004
254,8.471888958623897,1.9718889586238966,794.9407350883886,350.9136461910212,9.145147323608398,-31.012372970581055,7.386689717036624,0.8363175496432217
255,8.505242852161786,2.0052428521617855,792.3526897938661,352.8529411764706,8.674805641174316,-31.358015060424805,7.430244517930989,0.8391881779983534
256,8.538596745699675,2.0385967456996745,789.3478260869565,355.786011342155,8.12744426727295,-31.882957458496094,7.420431908871756,0.8728827644596943
257,8.571950639237564,2.0719506392375635,800.9188538100672,353.0813997717763,10.218531608581543,-31.42041015625,7.397954214189923,0.863303379634986
258,8.605304532775454,2.1053045327754543,810.2818664643399,351.4178047546788,11.909564018249512,-31.141387939453125,7.407796597996723,0.8481703471722565
259,8.638658426313343,2.1386584263133432,815.454738684671,352.14428607151785,12.840471267700195,-31.285871505737305,7.449830961862573,0.820171210796726
260,8.672012319851232,2.172012319851232,820.4736388272973,351.8079576250308,13.74575424194336,-31.237102508544922,7.505510592738211,0.8096565527931674
261,8.705366213389121,2.205366213389121,825.1821764556317,351.59280447495547,14.594826698303223,-31.20956802368164,7.38809871842608,0.8256688918560369
262,8.738720106927012,2.238720106927012,831.3373493975904,351.33709839357425,15.704668045043945,-31.178211212158203,7.435845909241358,0.826650841988118
263,8.772074000464901,2.272074000464901,837.4127465857359,351.2831310065756,16.799663543701172,-31.183271408081055,7.407796597996723,0.830077501889099
264,8.80542789400279,2.30542789400279,839.3141951837769,352.62002534854247,17.139484405517578,-31.430505752563477,7.399361070571223,0.8462397636073363
265,8.838781787540679,2.338781787540679,844.3714641744548,351.4221806853582,18.053377151489258,-31.225509643554688,7.462395100585104,0.8493888697127961
266,8.872135681078568,2.372135681078568,850.8821446636316,350.08320687910975,19.229494094848633,-30.998456954956055,7.407796597996723,0.8204260587980774
267,8.905489574616459,2.4054895746164586,853.7226718047526,351.2292870905588,19.73883819580078,-31.213361740112305,7.349960873533824,0.8337782289349569
268,8.938843468154348,2.4388434681543476,857.0257757757757,352.6192442442442,20.330955505371094,-31.4736328125,7.447036052380657,0.8195559258335522
269,8.972197361692237,2.4721973616922366,857.9828244274809,353.5067430025445,20.501447677612305,-31.63699722290039,7.385280446830717,0.8348022246730159
270,9.005551255230126,2.5055512552301256,864.5824613851519,352.2158694569008,21.69337272644043,-31.41891098022461,7.4637898104562845,0.7754019017209999
271,9.038905148768015,2.5389051487680145,872.6121258244546,351.26648909183155,23.142173767089844,-31.26627540588379,7.3965470902182435,0.7665372990583749
272,9.072259042305905,2.5722590423059053,875.5464102564102,352.1323076923077,23.668846130371094,-31.430530548095703,7.357038353145271,0.7831771499040153
273,9.105612935843794,2.6056129358437943,879.8290532771176,352.7012904050083,24.439069747924805,-31.544221878051758,7.369760688554333,0.7671064920161983
274,9.138966829381683,2.6389668293816833,885.9258975341766,352.70985051743963,25.537351608276367,-31.5606632232666,7.369760688554333,0.7923021905883594
275,9.172320722919572,2.6723207229195722,889.7432569974553,352.01055979643763,26.226621627807617,-31.443126678466797,7.385280446830717,0.8154462344654639
276,9.205674616457463,2.705674616457463,895.6978133740147,351.94406305619117,27.29937171936035,-31.445608139038086,7.38809871842608,0.7808207972906653
277,9.239028509995352,2.739028509995352,899.5055936943808,352.9726671751843,27.982816696166992,-31.641504287719727,7.38809871842608,0.7989431911967496
278,9.272382403533241,2.772382403533241,905.6232376636455,352.9388217522659,29.084758758544922,-31.65030288696289,7.424638900748345,0.8107356722917158
