Test ID,Frame Number,Video Time (s),Elapsed Experiment Time (s),LED Detected,Marker 1 X (mm),Marker 1 Y (mm),Marker 2 X (mm),Marker 2 Y (mm),Marker 3 X (mm),Marker 3 Y (mm),Object Centroid X (mm),Object Centroid Y (mm),Pitch Angle (deg),Forward Velocity (mm/s),Number of Markers Detected,Interpolated Frame,Finish Line Crossed,Finish Crossing Frame (interpolated)
phase120_rep3,32,1.0662098883572568,0.0,True,-233.20445251464844,-329.35711669921875,21.048126220703125,-332.8988342285156,273.1468811035156,-336.0315246582031,20.330184936523438,-332.7624918619792,0.7551935497310992,-6.6245867224831025,3,False,False,367.14531491911055
phase120_rep3,33,1.099528947368421,0.033319059011164276,True,-232.76942443847656,-329.1839904785156,21.554302215576172,-332.64208984375,273.45318603515625,-335.8757019042969,20.746021270751953,-332.5672607421875,0.7573436759002656,-8.036100827405418,3,False,False,367.14531491911055
phase120_rep3,34,1.1328480063795854,0.06663811802232855,True,-232.9734344482422,-329.1204528808594,21.356393814086914,-332.5718078613281,273.382568359375,-335.7702331542969,20.58850924173991,-332.4874979654948,0.7524003687544901,-1.1251346785954073,3,False,False,367.14531491911055
phase120_rep3,35,1.1661670653907497,0.09995717703349283,True,-231.9163360595703,-328.39044189453125,22.271272659301758,-331.7904052734375,274.23828125,-335.0322570800781,21.53107261657715,-331.7377014160156,0.7517982164607871,10.420296707048658,3,False,False,367.14531491911055
phase120_rep3,36,1.199486124401914,0.1332762360446571,True,-232.17552185058594,-327.87225341796875,22.15633201599121,-331.4207458496094,274.2066345214844,-334.5797424316406,21.395814895629883,-331.29091389973956,0.7588899665212699,22.219403465956287,3,False,False,367.14531491911055
phase120_rep3,37,1.2328051834130782,0.16659529505582138,False,-233.9816436767578,-327.9100646972656,20.36440658569336,-331.43743896484375,272.3883056640625,-334.6339111328125,19.590356190999348,-331.32713826497394,0.7607587763326711,34.74362848126972,3,False,False,367.14531491911055
phase120_rep3,38,1.2661242424242425,0.19991435406698566,False,-235.54483032226562,-327.9499206542969,18.705381393432617,-331.52069091796875,270.88116455078125,-334.6888427734375,18.013905207316082,-331.38648478190106,0.762379918119278,45.03823717156072,3,False,False,367.14531491911055
phase120_rep3,39,1.2994433014354068,0.23323341307814993,False,-237.58067321777344,-328.1213684082031,16.613117218017578,-331.7010192871094,268.71954345703125,-334.6689147949219,15.91732915242513,-331.4971008300781,0.7409158650320733,48.21939851911414,3,False,False,367.14531491911055
phase120_rep3,40,1.332762360446571,0.2665524720893142,False,-238.93862915039062,-327.94970703125,15.30906867980957,-331.6116943359375,267.507568359375,-334.6366882324219,14.626002629597982,-331.3993631998698,0.7564743098125984,48.086993758860054,3,False,False,367.14531491911055
phase120_rep3,41,1.3660814194577353,0.2998715311004785,False,-240.2892608642578,-327.8233642578125,13.954581260681152,-331.3984680175781,266.2183837890625,-334.4408264160156,13.294568061828613,-331.22088623046875,0.7485199607554001,46.48484435308558,3,False,False,367.14531491911055
phase120_rep3,42,1.3994004784688994,0.33319059011164254,False,-241.9246368408203,-327.7724304199219,12.26767635345459,-331.37799072265625,264.53302001953125,-334.4335021972656,11.62535317738851,-331.19464111328125,0.7535265597611253,46.24823656851607,3,False,False,367.14531491911055
phase120_rep3,43,1.4327195374800636,0.3665096491228068,False,-243.60926818847656,-327.9478759765625,10.634620666503906,-331.49627685546875,262.844970703125,-334.476806640625,9.956774393717447,-331.30698649088544,0.7385848955110692,48.401902648595886,3,False,False,367.14531491911055
