frame,time_s,x_px,y_px,area_px2,x_mm,y_mm,radius_px,radius_mm
0,0.0,1121.8481629039397,321.23417441345725,1506.0,19.58161284419367,10.741930666574232,135.97599364978103,22.334471921793416
1,0.033332474226804125,1121.7309103034345,321.1242636434367,1499.5,19.562353746734992,10.759983845970368,135.92614138299507,22.32628353483714
2,0.06666494845360825,1121.777740900542,321.203783604381,1506.5,19.570045815225217,10.746922449710178,135.9288817418061,22.32673364713474
3,0.09999742268041237,1121.6885482616904,321.1946017994002,1500.5,19.555395652100135,10.748430589198856,135.8551309485868,22.314619854279446
4,0.1333298969072165,1121.6343291932415,321.19760546044535,1489.5,19.54649000464433,10.747937228705762,135.80617135722483,22.30657809198578
5,0.1666623711340206,1121.6890690082178,321.23494314983674,1480.5,19.555481186306448,10.74180439927791,135.83616048518647,22.31150389777282
6,0.19999484536082474,1121.5934547908232,321.2113135402609,1482.0,19.539776259308653,10.745685634762417,135.76374979767024,22.299610221368923
7,0.23332731958762887,1121.6382907133243,321.3721399730821,1486.0,19.547140696407507,10.71926940236938,135.7256353919768,22.293349813918113
8,0.266659793814433,1121.6457774798928,321.40962913315457,1492.0,19.548370420664124,10.713111693419908,135.71417895850047,22.29146805975745
9,0.2999922680412371,1121.5324631860776,321.39145470771973,1494.0,19.529758202098023,10.716096898261393,135.6235614237084,22.27658385312574
10,0.3333247422680412,1121.4158826164874,321.52934587813616,1488.0,19.510609487768,10.693447852711037,135.4550391700002,22.24890355866628
11,0.36665721649484534,1121.1046822742476,321.0729096989967,1495.0,19.459493881849294,10.768418888064067,135.40263235894216,22.24029558001748
12,0.39998969072164947,1119.9394041596402,319.1130972456436,1482.5,19.26809339538687,11.090324064386095,135.35115353514263,22.23184002610788
13,0.4333221649484536,1117.204250559284,314.0800894854586,1490.0,18.818836069521794,11.917010948480812,135.61229458814452,22.2747332410008
14,0.46665463917525773,1115.2589052008648,311.03892113349264,1464.5,18.49930715769262,12.416532131178487,135.6438451542995,22.279915517776214
15,0.4999871134020618,1113.7972116603294,309.040327226639,1446.5,18.259219532935578,12.744807279589299,135.56656967668573,22.26722278475267
16,0.533319587628866,1111.7405169519973,306.280407295513,1489.5,17.92140115057277,13.198132550863988,135.50341160760578,22.256848879163613
17,0.5666520618556701,1110.4818629133767,304.7942556356562,1456.5,17.714663383631162,13.442237496359645,135.38515265012984,22.237424484501346
18,0.5999845360824742,1109.1756064229587,303.38378316820405,1463.5,17.500106768711003,13.673911903548829,135.21071838273713,22.20877312375222
19,0.6333170103092783,1108.0958132045089,301.5471589602024,1449.0,17.322747437321045,13.975583034632082,135.50712869611579,22.257459422295007
20,0.6666494845360824,1104.9946548390765,298.87433185488453,1465.5,16.813372711836944,14.4146030434822,134.8319769059265,22.146563680361552
21,0.6999819587628866,1104.7795863004408,298.49327455634676,1474.5,16.77804704803049,14.477192867658859,134.9174026530028,22.160595120016907
22,0.7333144329896907,1102.2020134228187,296.33691275167786,1490.0,16.354672836771556,14.831381874754104,134.41553255657615,22.078161425096475
23,0.7666469072164949,1100.9666330758034,294.5663419549882,1488.5,16.15175784470161,15.122203531450825,134.70684302634868,22.12601005876351
24,0.7999793814432989,1098.519288829252,292.6417309627642,1490.5,15.749774083521325,15.438326760356324,134.2709735859768,22.05441717301761
25,0.833311855670103,1097.3885466575405,291.5188227241615,1461.0,15.564046231074634,15.622767865382679,134.2589777630159,22.052446822488026
26,0.8666443298969072,1095.80639391907,290.1259780907668,1491.0,15.304172815445318,15.851546847032171,134.1455772129109,22.03382043606308
27,0.8999768041237113,1093.3244958078403,287.93428506684796,1471.0,14.896513476541864,16.21153911471129,134.03927607234732,22.01636014932095
28,0.9333092783505155,1093.0047106325705,287.7234185733513,1486.0,14.843987785599213,16.24617457978006,133.9787090745219,22.006411835092752
29,0.9666417525773195,1090.0332326283988,285.61776882622803,1489.5,14.355913455204288,16.592033976662883,133.5777462549625,21.940552468341608
30,0.9999742268041236,1088.8138629283487,284.05106809078774,1498.0,14.155628260758885,16.84936935363882,133.97883318382492,22.006432220424525
31,1.0333067010309278,1086.4793277310923,282.25344537815124,1487.5,13.772173730190389,17.144634370085516,133.88587256841626,21.99116315565104
