frame,time_s,x_px,y_px,area_px2
0,0.0,1121.8481629039397,321.23417441345725,1506.0
1,0.033332474226804125,1121.7309103034345,321.1242636434367,1499.5
2,0.06666494845360825,1121.777740900542,321.203783604381,1506.5
3,0.09999742268041237,1121.6885482616904,321.1946017994002,1500.5
4,0.1333298969072165,1121.6343291932415,321.19760546044535,1489.5
5,0.1666623711340206,1121.6890690082178,321.23494314983674,1480.5
6,0.19999484536082474,1121.5934547908232,321.2113135402609,1482.0
7,0.23332731958762887,1121.6382907133243,321.3721399730821,1486.0
8,0.266659793814433,1121.6457774798928,321.40962913315457,1492.0
9,0.2999922680412371,1121.5324631860776,321.39145470771973,1494.0
10,0.3333247422680412,1121.4158826164874,321.52934587813616,1488.0
11,0.36665721649484534,1121.1046822742476,321.0729096989967,1495.0
12,0.39998969072164947,1119.9394041596402,319.1130972456436,1482.5
13,0.4333221649484536,1117.204250559284,314.0800894854586,1490.0
14,0.46665463917525773,1115.2589052008648,311.03892113349264,1464.5
15,0.4999871134020618,1113.7972116603294,309.040327226639,1446.5
16,0.533319587628866,1111.7405169519973,306.280407295513,1489.5
17,0.5666520618556701,1110.4818629133767,304.7942556356562,1456.5
18,0.5999845360824742,1109.1756064229587,303.38378316820405,1463.5
19,0.6333170103092783,1108.0958132045089,301.5471589602024,1449.0
20,0.6666494845360824,1104.9946548390765,298.87433185488453,1465.5
21,0.6999819587628866,1104.7795863004408,298.49327455634676,1474.5
22,0.7333144329896907,1102.2020134228187,296.33691275167786,1490.0
23,0.7666469072164949,1100.9666330758034,294.5663419549882,1488.5
24,0.7999793814432989,1098.519288829252,292.6417309627642,1490.5
25,0.833311855670103,1097.3885466575405,291.5188227241615,1461.0
26,0.8666443298969072,1095.80639391907,290.1259780907668,1491.0
27,0.8999768041237113,1093.3244958078403,287.93428506684796,1471.0
28,0.9333092783505155,1093.0047106325705,287.7234185733513,1486.0
29,0.9666417525773195,1090.0332326283988,285.61776882622803,1489.5
30,0.9999742268041236,1088.8138629283487,284.05106809078774,1498.0
31,1.0333067010309278,1086.4793277310923,282.25344537815124,1487.5
32,1.066639175257732,1083.9180180180178,280.2608108108108,1480.0
33,1.099971649484536,1082.598081855693,279.5404260064681,1494.5
34,1.1333041237113402,1079.869325222485,277.9553903345725,1479.5
35,1.1666365979381443,1079.0319865319866,277.1925925925926,1485.0
36,1.1999690721649483,1076.7632817753868,275.3539565119928,1487.0
37,1.2333015463917525,1074.6737321937321,274.00034188034186,1462.5
38,1.2666340206185567,1073.0793107383315,272.9834531553121,1460.5
39,1.2999664948453609,1070.879459213815,271.5773687798228,1467.0
40,1.3332989690721648,1069.189344356413,270.71615570099897,1451.5
41,1.366631443298969,1066.971124097628,269.7238455368397,1454.5
42,1.3999639175257732,1065.806908462867,268.7245826137018,1447.5
43,1.4332963917525772,1062.300832208727,267.37381916329286,1482.0
44,1.4666288659793814,1060.2790148448044,266.3003823661718,1482.0
45,1.4999613402061855,1059.0670745524585,265.8738953093134,1471.0
46,1.5332938144329897,1056.950875987633,265.07305622352,1455.5
47,1.5666262886597937,1055.7043874643873,264.91293447293447,1462.5
48,1.5999587628865979,1051.6550714848586,263.0628166160081,1480.5
49,1.633291237113402,1050.8593292820165,262.6065721359442,1481.0
50,1.666623711340206,1048.4621212121212,261.4779411764706,1496.0
51,1.6999561855670102,1046.2454771596563,260.8785617367707,1474.0
52,1.7332886597938144,1044.2625309058214,260.06169925826026,1483.0
53,1.7666211340206186,1042.3744414655941,259.486036639857,1492.0
54,1.7999536082474226,1040.651844308667,259.0649468205476,1473.0
55,1.8332860824742268,1038.501795735129,258.1630751964085,1485.0
56,1.866618556701031,1035.5406558849954,257.2555031446541,1484.0
57,1.899951030927835,1033.871112608061,257.1331536993376,1484.5
58,1.933283505154639,1031.7625955915428,256.4393837156995,1482.0
59,1.9666159793814433,1030.094433175569,256.1826684696867,1479.0
60,1.9999484536082472,1027.7764572722128,255.7739671760045,1472.5
61,2.0332809278350514,1026.8895257361203,255.4055967633176,1483.0
62,2.0666134020618556,1023.7961284547387,255.27705046436162,1489.5
63,2.09994587628866,1022.177329227962,254.85220663701676,1461.5
64,2.133278350515464,1020.0702845949993,254.67841917271573,1446.5
65,2.166610824742268,1017.5042528735631,254.35137931034484,1450.0
66,2.199943298969072,1016.1573527710285,254.0194376952447,1440.5
67,2.233275773195876,1014.8841817560642,253.76756633640815,1463.5
68,2.2666082474226803,1011.8297460425919,253.6627946703109,1463.5
69,2.2999407216494845,1011.2536529680365,253.5522831050228,1460.0
70,2.3332731958762887,1008.2379804934021,253.36660929432014,1452.5
71,2.366605670103093,1007.1639381537062,253.38915416098226,1466.0
72,2.3999381443298966,1004.4168113928447,253.12388560842885,1439.5
73,2.433270618556701,1002.4432562952742,253.0271357939519,1449.5
74,2.466603092783505,1000.5554034006618,252.79824261097795,1460.5
75,2.499935567010309,999.0752468505277,252.79718533651115,1468.5
76,2.5332680412371134,997.6748846110547,252.90341100979398,1480.5
77,2.5666005154639175,995.4245239733883,253.07031429226885,1453.0
78,2.5999329896907217,994.8925572952121,252.79702745631948,1469.0
79,2.6332654639175255,990.9413982179575,253.0910440941284,1459.0
80,2.6665979381443297,989.8264008250258,253.38741835682364,1454.5
81,2.699930412371134,988.1211703958692,253.5887550200803,1452.5
82,2.733262886597938,985.4478068684122,253.9010540632438,1470.5
83,2.7665953608247422,983.028600269179,254.29542395693136,1486.0
84,2.7999278350515464,981.161908038069,254.8968008255934,1453.5
85,2.8332603092783506,979.4239836009566,255.22343696617696,1463.5
86,2.8665927835051543,977.6871284865111,255.51886145404663,1458.0
87,2.8999252577319585,975.2966746112812,255.72488934286687,1468.5
88,2.9332577319587627,973.5680863145939,255.8281658148779,1467.5
89,2.966590206185567,971.8035589672016,256.21167713421727,1433.0
90,2.999922680412371,970.7174263351749,256.3408149171271,1448.0
91,3.0332551546391753,968.5475451305047,256.87650914108315,1449.5
92,3.0665876288659795,966.7030344357313,257.05477895215364,1466.5
93,3.099920103092783,964.5387544802867,257.91151433691755,1488.0
94,3.1332525773195874,963.6326025857222,258.2467678471051,1482.5
95,3.1665850515463916,961.2417407154248,259.05969469127365,1463.0
96,3.1999175257731958,960.3530152191325,259.31708433459204,1456.5
97,3.23325,957.1071508630351,260.2628334454158,1487.0
