frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm
0,0.0,5.470459222793579,0.18280000988460593,0.05868743360042572
2,0.06663812123279882,5.4715166091918945,0.18276468325437345,0.059462182223796844
4,0.13327624246559763,5.469098329544067,0.18284549659639512,0.05848398804664612
6,0.19991436369839646,5.468864440917969,0.1828533164066042,0.060405924916267395
8,0.26655248493119527,5.464629411697388,0.18299502576687748,0.05965540185570717
10,0.3331906061639941,5.4721925258636475,0.18274210844622563,0.05320686474442482
12,0.3998287273967929,5.476004362106323,0.18261490201139174,0.05750380828976631
14,0.46646684862959176,5.470919132232666,0.18278464291463634,0.053302865475416183
16,0.5331049698623905,5.468311309814453,0.18287181240124592,0.053632453083992004
18,0.5997430910951894,5.472274541854858,0.1827393695896413,0.05675555393099785
20,0.6663812123279882,5.471630811691284,0.1827608686359633,0.056226834654808044
22,0.733019333560787,5.46935510635376,0.18283691231500002,0.05950743705034256
24,0.7996574547935859,5.473156929016113,0.18270990818817356,0.05943308398127556
26,0.8662955760263846,5.471583604812622,0.18276244543178202,0.05838221311569214
28,0.9329336972591835,5.472184419631958,0.1827423791516253,0.05774291232228279
30,0.9995718184919823,5.468723773956299,0.18285801977461352,0.06054926663637161
32,1.066209939724781,5.465072154998779,0.18298020074361185,0.06033337116241455
34,1.13284806095758,5.470852851867676,0.18278685738341754,0.0522075816988945
36,1.1994861821903788,5.470155239105225,0.18281016832048336,0.060333576053380966
38,1.2661243034231775,5.465984344482422,0.18294966413678793,0.06022821366786957
40,1.3327624246559764,5.468952655792236,0.18285036696027848,0.05641886591911316
42,1.3994005458887753,5.468957901000977,0.18285019159079122,0.059347476810216904
44,1.466038667121574,5.465394973754883,0.18296939284389382,0.05851574242115021
46,1.5326767883543728,5.468369960784912,0.18286985101067726,0.0581594742834568
48,1.5993149095871717,5.468769311904907,0.1828564971323823,0.21606305241584778
50,1.6659530308199706,5.469069480895996,0.18284646108320612,0.05786219984292984
52,1.7325911520527693,5.469344615936279,0.1828372630033687,0.05203612148761749
54,1.7992292732855681,5.466573715209961,0.18292993968372598,0.059097517281770706
56,1.865867394518367,5.471126556396484,0.18277771308924762,0.057598039507865906
58,1.9325055157511657,5.4739227294921875,0.18268434711586976,0.05614963546395302
