method,rev,frames,duration_s,rpm,mean_motion_radius_mm,std_motion_radius_mm,radius_error_mm,radius_error_percent,mean_marker_radius_mm,std_marker_radius_mm,mean_area_px2,std_area_px2
centroid,1,181,6.0037868504772005,9.993692563424533,22.52084457225368,0.20995595415570756,0.5208445722536794,2.3674753284258157,3.437967789788328,0.047899555735743685,1236.488950276243,34.40086222276611
centroid,2,179,5.93707810769412,10.105981243912451,22.53684258167547,0.19943542670069245,0.5368425816754687,2.4401935530703125,3.447128292679931,0.04104975300206275,1243.022346368715,29.58452095026862
centroid,3,179,5.937078107694122,10.105981243912447,22.545667822862296,0.1307510958618709,0.5456678228622955,2.480308285737707,3.452037630488242,0.04161783689495442,1246.5698324022346,29.992731057105953
centroid,4,180,5.970432479085659,10.049523248136405,22.57431605852942,0.08770185496081707,0.5743160585294191,2.610527538770087,3.4286433664835467,0.04785159795513359,1229.7916666666667,34.29012248447066
centroid,5,181,6.003786850477198,9.993692563424538,22.527435129718643,0.1394791286624532,0.5274351297186435,2.397432407812016,3.4324763777342056,0.04151348314474381,1232.4834254143645,29.771019677629365
centroid,6,180,5.970432479085659,10.049523248136405,22.5544055459601,0.24260641983531114,0.5544055459601012,2.520025208909551,3.4476366109102843,0.03972318905620015,1243.3777777777777,28.609908733089394
centroid,7,180,5.970432479085659,10.049523248136405,22.541773809678507,0.16973335958391422,0.5417738096785065,2.4626082258113935,3.4564451248953034,0.0373367097823617,1249.7194444444444,26.9452250042122
centroid,8,180,5.970432479085659,10.049523248136405,22.433832358905672,0.10492943188309078,0.43383235890567207,1.971965267753055,3.467479157222412,0.04182945073488865,1257.7472222222223,30.303100917261556
centroid,9,181,6.003786850477198,9.993692563424538,22.560822911422363,0.05845699627578995,0.5608229114223633,2.5491950519198334,3.4758091119447245,0.0319810517459194,1263.720994475138,23.229849119540916
centroid,10,180,5.970432479085666,10.049523248136394,22.469379150417474,0.2224610016379281,0.469379150417474,2.1335415928067003,3.4489559266961995,0.04052160075937361,1244.3361111111112,29.24491220400546
