video,source_file,frame,time_s,x_px,y_px,area_px2
4,20260609_135848.mp4,0,0.0,320.64189108318374,563.1624177139437,1392.5
4,20260609_135848.mp4,1,0.033318976279650435,316.84442134442133,564.2517902517902,1443.0
4,20260609_135848.mp4,2,0.06663795255930087,312.28924876293297,564.8422177237967,1482.0
4,20260609_135848.mp4,3,0.09995692883895131,307.6062336426362,566.2141327623126,1401.0
4,20260609_135848.mp4,4,0.13327590511860174,301.4422361692236,567.1471408647141,1434.0
4,20260609_135848.mp4,5,0.16659488139825218,296.97157534246577,567.5200913242008,1460.0
4,20260609_135848.mp4,6,0.19991385767790262,291.5799486461251,568.2882819794585,1428.0
4,20260609_135848.mp4,7,0.23323283395755304,286.3331027326185,568.9875475613975,1445.5
4,20260609_135848.mp4,8,0.2665518102372035,281.0129339686862,569.0530973451328,1469.0
4,20260609_135848.mp4,9,0.2998707865168539,276.8450432014552,569.1848567530695,1466.0
4,20260609_135848.mp4,10,0.33318976279650436,271.4310008043203,568.8156957371021,1450.5
4,20260609_135848.mp4,11,0.3665087390761548,266.4716360335829,568.4910369866121,1469.0
4,20260609_135848.mp4,12,0.39982771535580525,261.62850327966606,568.5952295766249,1397.5
4,20260609_135848.mp4,13,0.43314669163545566,256.47203890239666,567.7816371425263,1439.5
4,20260609_135848.mp4,14,0.4664656679151061,252.2060606060606,567.0512059369203,1347.5
4,20260609_135848.mp4,15,0.49978464419475654,247.18476727785614,565.9294781382229,1418.0
4,20260609_135848.mp4,16,0.533103620474407,243.37045454545455,564.9912878787878,1320.0
4,20260609_135848.mp4,17,0.5664225967540574,238.67523197715917,563.9342136569117,1401.0
4,20260609_135848.mp4,18,0.5997415730337078,233.34964359067294,562.2926180983447,1379.5
4,20260609_135848.mp4,19,0.6330605493133583,229.0437585223751,560.5396058014131,1344.5
4,20260609_135848.mp4,20,0.6663795255930087,224.33957283417323,558.8657307415407,1389.0
4,20260609_135848.mp4,21,0.6996985018726591,220.2897286821705,557.7037306201549,1376.0
4,20260609_135848.mp4,22,0.7330174781523096,216.20509210371932,555.1321131057139,1420.5
4,20260609_135848.mp4,23,0.76633645443196,211.97354104846684,553.5341246290801,1348.0
4,20260609_135848.mp4,24,0.7996554307116105,209.233790292701,551.1323947140916,1349.5
4,20260609_135848.mp4,25,0.8329744069912609,205.51976137211037,549.0703455132984,1341.0
4,20260609_135848.mp4,26,0.8662933832709113,201.34609069091826,546.3628899835796,1319.5
4,20260609_135848.mp4,27,0.8996123595505617,197.19597615499254,543.404868355688,1342.0
4,20260609_135848.mp4,28,0.9329313358302121,193.5266428665873,541.8326061086871,1260.5
4,20260609_135848.mp4,29,0.9662503121098627,188.11072342405208,537.8001860897883,1433.0
4,20260609_135848.mp4,30,0.9995692883895131,184.42300469483567,535.5627934272301,1420.0
4,20260609_135848.mp4,31,1.0328882646691635,182.20322313070267,533.2145988861239,1406.5
4,20260609_135848.mp4,32,1.066207240948814,178.55333826065532,530.30044345898,1353.0
4,20260609_135848.mp4,33,1.0995262172284643,173.9505958579197,525.8638204327201,1440.5
4,20260609_135848.mp4,34,1.1328451935081147,170.89235259778167,522.7661412726211,1427.5
4,20260609_135848.mp4,35,1.1661641697877652,168.1202850473031,517.7363312446246,1356.5
4,20260609_135848.mp4,36,1.1994831460674156,165.9220760233918,513.8029239766081,1140.0
4,20260609_135848.mp4,37,1.2328021223470662,161.80493074088193,510.78650400304997,1311.5
4,20260609_135848.mp4,38,1.2661210986267166,158.98902706656912,507.2101926359424,1367.0
4,20260609_135848.mp4,39,1.299440074906367,156.5981653562068,503.14796283059326,1399.0
4,20260609_135848.mp4,40,1.3327590511860175,153.6235170969993,498.5797859967434,1433.0
4,20260609_135848.mp4,41,1.3660780274656679,151.2377459968219,494.78804547121376,1363.5
4,20260609_135848.mp4,42,1.3993970037453183,150.60328383435953,491.37027646987804,1380.5
4,20260609_135848.mp4,43,1.4327159800249687,148.2760186548846,486.41212567501225,1358.0
4,20260609_135848.mp4,44,1.466034956304619,145.89296636085626,481.8462385321101,1362.5
4,20260609_135848.mp4,45,1.4993539325842695,143.5703211517165,477.4478897502153,1354.5
4,20260609_135848.mp4,46,1.53267290886392,142.09330855018587,471.7030978934324,1345.0
4,20260609_135848.mp4,47,1.5659918851435704,140.6966476913346,467.15825426944974,1317.5
4,20260609_135848.mp4,48,1.599310861423221,139.4042682187462,463.31259852067416,1374.5
4,20260609_135848.mp4,49,1.6326298377028714,139.60779054916986,457.51072796934864,1305.0
4,20260609_135848.mp4,50,1.6659488139825218,137.14190932546995,452.9373387394029,1356.5
4,20260609_135848.mp4,51,1.6992677902621722,135.97862145226685,446.8035385182455,1356.5
4,20260609_135848.mp4,52,1.7325867665418226,135.41081460674158,442.5672986891385,1424.0
4,20260609_135848.mp4,53,1.765905742821473,135.42470683849993,438.1370022059677,1435.5
4,20260609_135848.mp4,54,1.7992247191011235,135.54815115806582,434.4675606122172,1230.5
4,20260609_135848.mp4,55,1.8325436953807739,135.13065453626484,428.19598180439726,1319.0
4,20260609_135848.mp4,56,1.8658626716604243,134.95147679324896,423.02801218940454,1422.0
4,20260609_135848.mp4,57,1.8991816479400747,135.6095063985375,417.9625837903717,1367.5
4,20260609_135848.mp4,58,1.9325006242197253,136.6255038475632,412.5887382435568,1364.5
4,20260609_135848.mp4,59,1.9658196004993758,136.35330101569713,408.7663896583564,1444.0
4,20260609_135848.mp4,60,1.9991385767790262,137.23885989562424,403.0057540479058,1245.5
4,20260609_135848.mp4,61,2.0324575530586766,138.58420009905893,399.2226349678058,1346.0
4,20260609_135848.mp4,62,2.065776529338327,139.00648279113625,395.37034417727483,1414.0
4,20260609_135848.mp4,63,2.0990955056179774,140.41707054388797,390.04684975767367,1238.0
4,20260609_135848.mp4,64,2.132414481897628,142.80266572304788,385.48667138476054,1413.0
4,20260609_135848.mp4,65,2.1657334581772782,143.97581531696594,381.10321240991817,1364.5
4,20260609_135848.mp4,66,2.1990524344569287,146.5493246502653,376.77556681138446,1382.0
4,20260609_135848.mp4,67,2.232371410736579,148.03219025095257,372.36880830377083,1268.5
4,20260609_135848.mp4,68,2.2656903870162295,150.1767219708396,367.34112619406733,1326.0
4,20260609_135848.mp4,69,2.29900936329588,152.17129291453617,363.3498904309715,1369.0
4,20260609_135848.mp4,70,2.3323283395755303,154.76951672862452,360.4185873605948,1345.0
4,20260609_135848.mp4,71,2.3656473158551807,157.1726364522417,355.90058479532166,1368.0
4,20260609_135848.mp4,72,2.398966292134831,159.76830188679244,351.38276729559743,1325.0
4,20260609_135848.mp4,73,2.4322852684144816,161.9434256262735,347.9206520436294,1390.5
4,20260609_135848.mp4,74,2.4656042446941324,165.56946454413892,343.99577906415817,1382.0
4,20260609_135848.mp4,75,2.498923220973783,168.23162729658793,339.92388451443566,1270.0
4,20260609_135848.mp4,76,2.5322421972534332,170.98159890588087,336.61096605744126,1340.5
4,20260609_135848.mp4,77,2.5655611735330837,174.38379204892968,333.5829510703364,1308.0
4,20260609_135848.mp4,78,2.598880149812734,177.51595815123824,329.1687193749172,1258.5
4,20260609_135848.mp4,79,2.6321991260923845,181.1247778624016,327.1230007616146,1313.0
4,20260609_135848.mp4,80,2.665518102372035,184.37958303378863,324.2643182362808,1391.0
4,20260609_135848.mp4,81,2.6988370786516853,188.19624025676296,318.9784502521779,1090.5
4,20260609_135848.mp4,82,2.7321560549313357,192.5410129369667,317.1571703826039,1211.0
4,20260609_135848.mp4,83,2.765475031210986,195.57229254571027,314.14711673699014,1185.0
4,20260609_135848.mp4,84,2.7987940074906366,198.53905645784994,311.08615622583136,1077.5
4,20260609_135848.mp4,85,2.832112983770287,202.69361765141417,309.1519324744558,1125.5
4,20260609_135848.mp4,86,2.8654319600499374,208.77260273972604,306.01662100456616,912.5
4,20260609_135848.mp4,87,2.898750936329588,212.80862340638876,305.29551640166164,1163.5
4,20260609_135848.mp4,88,2.932069912609238,215.79075642740375,303.8356367959578,1121.5
4,20260609_135848.mp4,89,2.9653888888888886,220.2137246183489,300.26708166592556,1124.5
4,20260609_135848.mp4,90,2.998707865168539,224.77193763919823,299.9931700074239,1122.5
4,20260609_135848.mp4,91,3.0320268414481895,228.21531614487415,298.7783916513198,1086.0
4,20260609_135848.mp4,92,3.06534581772784,233.77862254025044,295.9721228384019,1118.0
4,20260609_135848.mp4,93,3.0986647940074903,239.17767295597483,294.1561320754717,1060.0
4,20260609_135848.mp4,94,3.1319837702871407,244.2283671933785,296.5081514923501,1329.0
4,20260609_135848.mp4,95,3.1653027465667916,249.84068936527953,293.60193358554017,1189.5
4,20260609_135848.mp4,96,3.198621722846442,254.16042510121457,292.2419028340081,988.0
4,20260609_135848.mp4,97,3.2319406991260924,259.62705226690764,291.66124416327756,1106.5
4,20260609_135848.mp4,98,3.265259675405743,264.72799389778794,291.3319603356216,1092.5
4,20260609_135848.mp4,99,3.298578651685393,268.800764373546,291.1477234961781,1003.0
4,20260609_135848.mp4,100,3.3318976279650436,273.56743694305993,291.46971756532247,1103.5
4,20260609_135848.mp4,101,3.365216604244694,279.54166666666663,292.5423951048951,1144.0
4,20260609_135848.mp4,102,3.3985355805243445,284.7114636801991,293.2023642868253,1071.5
4,20260609_135848.mp4,103,3.431854556803995,289.12086971409,293.37664783427493,973.5
4,20260609_135848.mp4,104,3.4651735330836453,294.15287517531556,292.3077762194171,1069.5
4,20260609_135848.mp4,105,3.4984925093632957,298.53628800917954,293.4255593803787,1162.0
4,20260609_135848.mp4,106,3.531811485642946,303.3905548312328,295.8775894538606,1150.5
4,20260609_135848.mp4,107,3.5651304619225965,307.960544217687,296.5949659863945,1225.0
4,20260609_135848.mp4,108,3.598449438202247,311.5884602015989,295.79596802224535,959.0
4,20260609_135848.mp4,109,3.6317684144818974,319.08883610451306,298.80253365003955,1052.5
4,20260609_135848.mp4,110,3.6650873907615478,322.67034436643263,292.6787027749916,498.5
4,20260609_135848.mp4,111,3.698406367041198,326.57014925373136,303.672921108742,1172.5
4,20260609_135848.mp4,112,3.7317253433208486,332.0893203883495,305.6968284789644,1287.5
4,20260609_135848.mp4,113,3.765044319600499,336.4914751667902,308.4379787496911,1349.0
