video,source_file,frame,time_s,x_px,y_px,area_px2,x_mm,y_mm,radius_px,radius_mm
2,20260609_140511.mp4,0,0.0,1151.986303075582,434.7322873863778,1338.5,22.17426822606187,0.23518356250475567,137.55163858716725,22.17551538678209
2,20260609_140511.mp4,1,0.03331897968006917,1151.7364639466255,439.51039260969975,1299.0,22.133990178447863,-0.5351231164105579,137.33418214399623,22.140457943984433
2,20260609_140511.mp4,2,0.06663795936013835,1151.4877356054737,444.78040278853604,1291.0,22.09389120752326,-1.3847327103756941,137.3142382939695,22.137242677647503
2,20260609_140511.mp4,3,0.09995693904020751,1151.0537804076264,449.5376725838264,1267.5,22.023930716569602,-2.1516803863765332,137.26179431143981,22.128787872212417
2,20260609_140511.mp4,4,0.1332759187202767,1150.703342806875,454.2586276898092,1231.5,21.967434592732857,-2.9127735559550736,137.4535558964084,22.159702894539613
2,20260609_140511.mp4,5,0.16659489840034586,1149.7794599018002,458.8694762684124,1222.0,21.818489950651486,-3.65611579928388,137.2240084185534,22.122696184336416
2,20260609_140511.mp4,6,0.19991387808041503,1148.8277322404372,463.60806010928957,1220.0,21.665056290279576,-4.420051001759407,137.15358979324614,22.111343580143135
2,20260609_140511.mp4,7,0.23323285776048422,1147.8245903896461,467.57882417733714,1210.5,21.503333843525553,-5.060201425212706,137.0255374977926,22.09069951019741
2,20260609_140511.mp4,8,0.2665518374405534,1147.123544093178,472.7567942318358,1202.0,21.39031401261802,-5.894972684902695,137.62752629801233,22.187749694688545
2,20260609_140511.mp4,9,0.2998708171206226,1145.2323189630881,477.1576500422654,1183.0,21.085418393758488,-6.604460748742423,137.05568628693146,22.09555997528753
2,20260609_140511.mp4,10,0.3331897968006917,1143.4607209536118,482.1911532385465,1160.5,20.79980857244445,-7.415941649479307,136.9734721650939,22.08230574914711
2,20260609_140511.mp4,11,0.3665087764807609,1141.6416666666667,486.750730994152,1140.0,20.506548043207047,-8.151018219378425,136.87925255881038,22.06711604766236
2,20260609_140511.mp4,12,0.39982775616083005,1139.5216431095407,492.0133981154299,1132.0,20.164766473068976,-8.999443995487631,136.97060304153462,22.081843200723192
2,20260609_140511.mp4,13,0.43314673584089924,1137.5489759572574,496.35173642030276,1123.0,19.84674110283148,-9.698853241505512,137.02018577043336,22.089836726492177
2,20260609_140511.mp4,14,0.46646571552096844,1135.4463626973586,500.3888151099306,1129.5,19.507766349958647,-10.34969463837306,136.9792163774698,22.08323180768945
2,20260609_140511.mp4,15,0.4997846952010376,1133.3478325196033,504.45346944814315,1126.5,19.169449854972306,-11.004981669082358,137.1067215218186,22.10378766816078
2,20260609_140511.mp4,16,0.5331036748811068,1131.3197640117994,508.491592920354,1130.0,18.842492903661586,-11.655991501546044,137.43245479638168,22.15630106106728
2,20260609_140511.mp4,17,0.5664226545611759,1129.5481882423694,511.52728912945423,1108.5,18.5568866677973,-12.145394090173433,137.56774341288707,22.17811174124373
2,20260609_140511.mp4,18,0.5997416342412452,1126.8930134299078,514.8361249434133,1104.5,18.128830190149262,-12.678831134315129,137.22310509122642,22.12255055358098
2,20260609_140511.mp4,19,0.6330606139213143,1124.6089285714286,518.6377976190475,1120.0,17.760599324678154,-13.29172133162537,137.60131591792404,22.183524163877635
2,20260609_140511.mp4,20,0.6663795936013834,1121.0416284052646,523.153045607591,1089.0,17.18549370953197,-14.019651236885139,137.57098413328805,22.178634196998196
2,20260609_140511.mp4,21,0.6996985732814527,1117.314875645237,527.92351008916,1065.5,16.584681796118407,-14.788726106510136,137.83171449437674,22.220668084733088
