video,source_file,fps,frame_count,valid_frames,valid_percent,xc_px,yc_px,fitted_radius_px,pixels_per_mm,mean_radius_mm,std_radius_mm,radius_error_mm,radius_error_percent
1,20260609_152051.mp4,29.681848832219703,269,269,100.0,1007.2012759242405,441.7005301317889,137.58943956826045,6.254065434920929,21.999870691812802,0.07556965765446222,-0.00012930818719780746,-0.0005877644872627612
2,20260609_140511.mp4,30.01292385307292,257,147,57.19844357976653,1014.442400452953,436.191098323894,136.46294104719811,6.202860956690824,21.996855862084693,0.37320190699496636,-0.003144137915306544,-0.01429153597866611
3,20260609_152034.mp4,29.665954413895,342,286,83.62573099415205,1005.8261730260203,444.08330694747355,136.59504427253125,6.208865648751421,21.99507958474667,0.466083274485563,-0.0049204152533306456,-0.02236552387877566
4,20260609_135848.mp4,30.012926916087455,267,267,100.0,270.5190304145668,429.9520288886697,139.92498403639246,6.3602265471087485,21.994448922648683,0.4951107921133368,-0.005551077351316991,-0.025232169778713596
5,20260609_155505.mp4,29.78300950219827,259,259,100.0,979.7028750789202,444.82864657977075,137.8818348470778,6.267356129412628,21.99892408873798,0.21799638115448602,-0.0010759112620206679,-0.004890505736457581
