Phase shift (deg),Advance per cycle mean,Advance per cycle sample SD,Total backward travel mean,Total backward travel sample SD,Vertical peak-to-peak movement mean,Vertical peak-to-peak movement sample SD,Pitch peak-to-peak movement mean,Pitch peak-to-peak movement sample SD
72,138.0248652034336,2.4036148657242573,0.0,0.0,5.756629096137165,0.719078383313653,2.576604307795032,0.11818354186286505
90,139.69904696872388,0.7597876808218689,0.12256918130097579,0.21229604945541125,7.1751335991753535,1.9012823193768584,2.10664864270116,0.07654296832149755
120,137.4518909112171,0.863445816556689,0.2987205646656186,0.3294804808878379,7.602610270182292,1.4551710515498872,0.8282839458447256,0.013683438825843452
180,143.8240691644174,0.09155203921305509,2.6603410897431914,1.7434891532548815,7.846886528862872,1.562249476970029,0.9553486494619827,0.05032501962221084
240,135.3309491151645,0.08114439358089187,0.22930073738098145,0.2003616853768257,7.276285807291686,0.4261624882898912,1.1177293729220001,0.09140639021265812
270,132.01337326897513,0.33934933235364284,0.46033100552031314,0.6093087304695354,6.747049967447897,1.199214444780932,1.8452243528148067,0.05994681429366952
288,130.90817628819264,1.1509511177418066,0.8662796868218265,0.5939510809930715,6.859252929687519,0.8196931454247777,2.5313271566046835,0.1950336656652127
