window,frame,time_s,accepted,stability_score_px,sharpness,pixels_per_mm_at_board,plane_distance_mm,pose_reprojection_error_px,centre_x_px,centre_y_px
left,89,2.97436828553586,0,0.8814523220062256,349.98022185092617,1.505375576019287,8913.238593940985,0.1347091645002365,357.1266174316406,528.4896240234375
left,92,3.074627890666282,1,0.23549425601959229,355.13230159687913,1.5012029647827148,8925.811009250969,0.12991325557231903,357.7574157714844,528.6994018554688
left,95,3.1748874957967046,1,0.10423912853002548,350.87383361612126,1.500437116622925,8935.514319267759,0.12701904773712158,357.7364807128906,528.944580078125
left,98,3.2751471009271267,1,0.04791259765625,351.3432950267202,1.5002198219299316,8931.717679178651,0.12216165661811829,357.7981262207031,528.9214477539062
left,101,3.375406706057549,1,0.046514324843883514,349.7132746390579,1.5003471851348877,8929.386333889497,0.13149242103099823,357.8050537109375,528.9507446289062
left,104,3.4756663111879713,1,0.05436260253190994,353.87685080315026,1.5011512279510497,8929.494247465953,0.1271800398826599,357.8467712402344,528.9610595703125
left,107,3.5759259163183934,1,0.14290818572044373,350.70677567716166,1.5001473426818848,8928.728277791535,0.1371823400259018,357.7456970214844,528.8432006835938
left,110,3.676185521448816,1,0.2254600077867508,353.97407817232846,1.4995229244232178,8939.07982350345,0.12557043135166168,357.6619873046875,528.8132934570312
left,113,3.776445126579238,1,0.21047700941562653,357.8567420911608,1.5000711917877196,8934.540280209489,0.12410513311624527,357.6856384277344,528.7863159179688
left,116,3.87670473170966,1,0.1678234338760376,352.7735888465296,1.5019564628601074,8941.210807126348,0.13135764002799988,357.71710205078125,528.8109741210938
left,119,3.9769643368400827,1,0.27062612771987915,351.15796163914473,1.5012725830078124,8930.30513823382,0.13290956616401672,357.8358459472656,528.6630859375
left,122,4.077223941970504,1,0.181640625,347.56714421694824,1.5015637874603271,8935.731109498904,0.12443940341472626,357.8705139160156,528.7633666992188
left,125,4.177483547100927,1,0.08866491168737411,352.8802228113057,1.5016064643859863,8933.514164463142,0.13120269775390625,357.75518798828125,528.9222412109375
left,128,4.277743152231349,1,0.22088812291622162,348.9968384808713,1.5016201496124268,8917.205461536998,0.13155262172222137,358.0334777832031,529.0086669921875
left,131,4.378002757361771,1,0.31614992022514343,350.7797459474879,1.5023684978485108,8921.35590454149,0.1279199719429016,358.0631103515625,529.1455078125
left,134,4.478262362492194,1,0.20197676122188568,352.83337807625537,1.5015439510345459,8925.59382672699,0.12800107896327972,357.89739990234375,529.114013671875
left,137,4.578521967622616,1,0.38090506196022034,355.5951871488034,1.5014480590820312,8902.20578942584,0.1321329027414322,358.1960754394531,529.0032958984375
left,140,4.678781572753039,0,6.657864093780518,349.8306273576983,1.5011178016662599,8891.896160030032,0.1179562509059906,364.4811706542969,529.087158203125
left,143,4.77904117788346,0,14.563214302062988,349.9644675459153,1.5032893180847169,8893.107130129294,0.13018332421779633,372.408935546875,529.13671875
left,146,4.879300783013883,0,24.23267364501953,349.31531650190783,1.505457830429077,8868.708081994517,0.1394779533147812,382.0814208984375,529.1156616210938
left,149,4.979560388144305,0,37.73786926269531,349.0146382337828,1.5028338432312012,8853.024229736897,0.13147024810314178,395.58453369140625,528.9476928710938
