window,frame,time_s,accepted,stability_score_px,sharpness,pixels_per_mm_at_board,plane_distance_mm,pose_reprojection_error_px,centre_x_px,centre_y_px
centre,239,7.9873485420569725,0,1.2831640243530273,334.88981185294364,1.5155190467834472,8624.40579389806,0.15747639536857605,879.201416015625,526.1776123046875
centre,242,8.087608147187394,1,0.3840385377407074,327.23207040710844,1.5181736946105957,8629.818221208026,0.15034255385398865,880.08203125,525.9711303710938
centre,245,8.187867752317818,1,0.26462405920028687,333.0092258029679,1.518834400177002,8636.65031085805,0.14198148250579834,880.2023315429688,525.921142578125
centre,248,8.28812735744824,1,0.10027726739645004,329.7842777016664,1.5154606342315673,8636.986319958469,0.1466098129749298,880.409912109375,525.9514770507812
centre,251,8.388386962578661,1,0.1499960571527481,331.0172477776987,1.5168534755706786,8635.166501861524,0.14160381257534027,880.40771484375,526.01708984375
centre,254,8.488646567709084,1,0.08798375725746155,325.46483613026726,1.5183032989501952,8638.708871789086,0.14963141083717346,880.4279174804688,525.9389038085938
centre,257,8.588906172839506,1,0.06665894389152527,328.79413204076116,1.5169892311096191,8630.741665468406,0.1496581733226776,880.4151000976562,525.8638305664062
centre,260,8.689165777969928,1,0.07877858728170395,329.77945420629595,1.5174150466918945,8638.236377713947,0.15102185308933258,880.5112915039062,525.9111328125
centre,263,8.789425383100351,1,0.0789794921875,333.16115776289956,1.5187047958374023,8647.60794108609,0.1520925760269165,880.4961547851562,525.8289184570312
centre,266,8.889684988230773,1,0.051615141332149506,334.7749789140863,1.5170605182647705,8641.169077068856,0.15513712167739868,880.4722290039062,525.8320922851562
centre,269,8.989944593361194,1,0.15775664150714874,329.66681954089506,1.517269229888916,8632.174727374499,0.14479762315750122,880.3753051757812,525.992919921875
centre,272,9.090204198491618,1,0.2193165123462677,330.76608988420196,1.5173739433288573,8631.496017533755,0.14704760909080505,880.2562255859375,525.9534912109375
centre,275,9.19046380362204,1,0.12901152670383453,331.5325225965898,1.5174506187438965,8624.370466217739,0.15388193726539612,880.34033203125,525.8994750976562
centre,278,9.290723408752461,1,0.08074711263179779,332.17475966357785,1.5167962074279786,8634.580381284204,0.14596672356128693,880.4124145507812,525.807861328125
centre,281,9.390983013882884,1,0.14769253134727478,330.9009882772275,1.516594123840332,8639.99748684612,0.14775216579437256,880.5821533203125,525.8088989257812
centre,284,9.491242619013306,1,0.20040498673915863,329.4492755648603,1.5164058208465576,8637.762611334756,0.1473463624715805,880.5574951171875,525.7186889648438
centre,287,9.591502224143728,1,0.2806759774684906,330.61543972054085,1.5176188468933105,8637.82384291632,0.14844369888305664,880.5997924804688,525.6311645507812
centre,290,9.691761829274151,1,0.3482319712638855,329.176360827206,1.5165382862091064,8643.855996988694,0.15625256299972534,880.5643920898438,525.5452880859375
centre,293,9.792021434404573,1,0.33924850821495056,332.4420496110325,1.5182294368743896,8645.200228779355,0.14054369926452637,880.5611572265625,525.5579223632812
centre,296,9.892281039534994,1,0.4566429853439331,330.12354888528,1.5187774181365967,8639.569560270376,0.14024825394153595,880.8226928710938,525.63525390625
centre,299,9.992540644665418,1,0.24264991283416748,333.4641232779462,1.5183077812194825,8640.123328165033,0.1529337614774704,880.5535888671875,525.6443481445312
right,418,13.9695049815055,0,8.225759506225586,270.5476202228329,1.5150003910064698,8592.093592102847,0.13356509804725647,1371.56494140625,521.6112670898438
right,421,14.069764586635921,0,5.286542892456055,279.5629751547145,1.5157930850982666,8588.013818373585,0.12709970772266388,1374.4775390625,521.4994506835938
right,424,14.170024191766345,0,4.395101070404053,276.2115359704425,1.5162986278533936,8583.618139602611,0.12536120414733887,1375.37841796875,521.6249389648438
right,427,14.270283796896766,0,4.093245029449463,272.98206303650556,1.516883420944214,8587.94991235827,0.13787049055099487,1375.6790771484375,521.5618286132812
right,430,14.370543402027188,0,0.7994813919067383,275.89473948674873,1.5129166126251221,8589.156940153549,0.13658493757247925,1379.002197265625,521.5426635742188
right,433,14.470803007157611,1,0.5229979157447815,278.47891218182366,1.5183918952941895,8592.289602877456,0.13380201160907745,1380.184814453125,521.4138793945312
right,436,14.571062612288033,1,0.35057100653648376,274.0916932463097,1.51580867767334,8591.72812068198,0.12225662916898727,1379.9886474609375,521.4600830078125
right,439,14.671322217418455,1,0.5109289288520813,275.60074828718075,1.5145626544952393,8588.918117296704,0.12030160427093506,1380.1983642578125,521.4645385742188
right,442,14.771581822548878,1,0.44034549593925476,275.0187525369182,1.5149060249328614,8594.063938474173,0.13339900970458984,1380.1129150390625,521.4424438476562
right,445,14.8718414276793,1,0.313894659280777,273.1634513227875,1.5165194988250732,8588.77743486857,0.12973593175411224,1380.032958984375,521.5673828125
right,448,14.972101032809721,1,0.11996779590845108,276.03720330684865,1.514357614517212,8593.386607592216,0.12863099575042725,1379.7647705078125,521.6278686523438
right,451,15.072360637940145,1,0.08842896670103073,279.0383867139254,1.5177246570587157,8592.050772358729,0.1256479024887085,1379.8221435546875,521.6721801757812
right,454,15.172620243070567,1,0.12749139964580536,278.55231973259066,1.5150965213775636,8595.755218515465,0.1347973346710205,1379.817626953125,521.6267700195312
right,457,15.272879848200988,1,0.05967294052243233,272.39549648330234,1.5139572143554687,8596.701444533835,0.146595761179924,1379.793212890625,521.7496337890625
right,460,15.373139453331412,1,0.06373210996389389,275.72361057484994,1.5163210391998292,8593.662259481938,0.14106065034866333,1379.7579345703125,521.7814331054688
right,463,15.473399058461833,1,0.0833331048488617,275.09560498760743,1.5159912586212159,8595.727563298997,0.1421130895614624,1379.802490234375,521.78466796875
right,466,15.573658663592255,1,0.06511124223470688,275.7500040042632,1.5158019542694092,8590.77346697207,0.13205993175506592,1379.8277587890625,521.7395629882812
right,469,15.673918268722678,1,0.0539688840508461,272.0443932121648,1.5147817134857178,8591.996931869093,0.12400472164154053,1379.8077392578125,521.7479858398438
right,472,15.7741778738531,1,0.24426880478858948,274.6394958092123,1.516071653366089,8589.056779725566,0.1297910511493683,1380.007080078125,521.7454223632812
right,475,15.874437478983522,1,0.3168964982032776,272.9768007136227,1.516007375717163,8592.170114923427,0.1199488490819931,1380.0,521.937744140625
right,478,15.974697084113945,1,0.16790771484375,270.9253234886686,1.5156624794006348,8591.303586892383,0.13217884302139282,1379.78173828125,521.8919677734375
right,481,16.074956689244367,1,0.16269703209400177,277.76161687885804,1.5149436950683595,8588.162324050694,0.13979512453079224,1379.700439453125,521.8682861328125
right,484,16.17521629437479,1,0.21944253146648407,275.9136170099445,1.51681809425354,8590.26017021489,0.1317213475704193,1379.638427734375,521.9011840820312
right,487,16.27547589950521,1,0.18700259923934937,276.8964401544897,1.5158010482788087,8589.38158080266,0.13396243751049042,1379.63427734375,521.854248046875
right,490,16.375735504635635,1,0.1979297399520874,276.50533036741734,1.5155209064483643,8589.431276987943,0.13074085116386414,1379.6201171875,521.8594360351562
right,493,16.475995109766057,1,0.064453125,273.964320007871,1.5153940677642823,8592.982682249165,0.13649268448352814,1379.7999267578125,521.773681640625
right,496,16.57625471489648,1,0.12361720949411392,273.5011296172196,1.5155838489532472,8593.914617867018,0.13638465106487274,1379.6544189453125,521.70361328125
right,499,16.6765143200269,1,0.07662411779165268,269.3605983776182,1.518270206451416,8593.584115362582,0.14318914711475372,1379.7310791015625,521.780029296875
right,502,16.776773925157322,1,0.058124348521232605,270.1131976931202,1.51703200340271,8589.115591806474,0.14366188645362854,1379.7969970703125,521.7647705078125
right,505,16.877033530287743,1,0.14287735521793365,268.6148841950404,1.51871018409729,8591.785690452825,0.14042453467845917,1379.6844482421875,521.8368530273438
right,508,16.97729313541817,1,0.11919253319501877,270.8400810319979,1.5164093017578124,8590.239602027606,0.14588326215744019,1379.709228515625,521.8252563476562
