Test ID,Frame Number,Video Time (s),Elapsed Experiment Time (s),LED Detected,Marker 1 X (mm),Marker 1 Y (mm),Marker 2 X (mm),Marker 2 Y (mm),Marker 3 X (mm),Marker 3 Y (mm),Object Centroid X (mm),Object Centroid Y (mm),Pitch Angle (deg),Forward Velocity (mm/s),Number of Markers Detected,Interpolated Frame,Finish Line Crossed,Finish Crossing Frame (interpolated)
low_3p0s_rep2,29,0.9662519088319088,0.0,True,-232.02279663085938,-326.51934814453125,21.182941436767578,-329.9654541015625,273.1162414550781,-333.1214599609375,20.758795420328777,-329.86875406901044,0.7488069175272752,-6.979557147596658,3,False,False,340.81223006569155
low_3p0s_rep2,30,0.9995709401709402,0.03331903133903136,True,-232.17083740234375,-326.38018798828125,21.138765335083008,-329.8790283203125,272.9906311035156,-333.1257019042969,20.65285301208496,-329.7949727376302,0.7650356039792038,-2.7615818412302082,3,False,False,340.81223006569155
low_3p0s_rep2,31,1.0328899715099715,0.06663806267806271,True,-231.60800170898438,-326.06597900390625,21.807281494140625,-329.32635498046875,274.5730285644531,-332.5137023925781,21.590769449869793,-329.30201212565106,0.729792973019226,7.121872084951813,3,False,False,340.81223006569155
low_3p0s_rep2,32,1.0662090028490028,0.09995709401709396,True,-231.32240295410156,-325.3992004394531,22.07710838317871,-328.98614501953125,274.3858642578125,-332.3681335449219,21.713523228963215,-328.91782633463544,0.7895168180851068,18.03092207432347,3,False,False,340.81223006569155
low_3p0s_rep2,33,1.0995280341880342,0.13327612535612543,False,-232.7095947265625,-325.56048583984375,20.782136917114258,-328.9822692871094,272.8509826660156,-332.1343078613281,20.307841618855793,-328.89235432942706,0.7449770573697264,30.16222767038988,3,False,False,340.81223006569155
low_3p0s_rep2,34,1.1328470655270655,0.16659515669515668,False,-234.4344940185547,-325.474853515625,18.996097564697266,-328.9924011230469,271.1788024902344,-332.2418518066406,18.580135345458984,-328.9030354817708,0.7667861923852919,42.14674272258004,3,False,False,340.81223006569155
low_3p0s_rep2,35,1.166166096866097,0.19991418803418814,False,-236.12571716308594,-325.7227478027344,17.1903018951416,-329.0563659667969,269.4067687988281,-332.1378173828125,16.823784510294598,-328.97231038411456,0.7270288166036453,46.94764216476583,3,False,False,340.81223006569155
low_3p0s_rep2,36,1.1994851282051282,0.2332332193732194,False,-237.64508056640625,-325.5065612792969,15.796567916870117,-328.85546875,267.958740234375,-332.0849304199219,15.370075861612955,-328.81565348307294,0.7454285471407084,45.852534427238574,3,False,False,340.81223006569155
low_3p0s_rep2,37,1.2328041595441597,0.26655225071225086,False,-239.19493103027344,-325.4342041015625,14.280360221862793,-328.7407531738281,266.58856201171875,-332.0159606933594,13.891330401102701,-328.7303059895833,0.7455474440593246,45.28746787557146,3,False,False,340.81223006569155
low_3p0s_rep2,38,1.266123190883191,0.2998712820512821,False,-240.47744750976562,-325.37164306640625,12.720600128173828,-328.6645202636719,265.2194519042969,-331.9272155761719,12.487534840901693,-328.6544596354167,0.7427089217314343,45.536663082577896,3,False,False,340.81223006569155
