Frame Number,Video Time (s),LED Score,LED Score Smoothed,LED Detected,Detection Threshold
0,0.0,60.21428680419922,59.87921905517578,False,71.04345321655273
1,0.033318993812214155,59.544151306152344,60.011085510253906,False,71.04345321655273
2,0.06663798762442831,60.011085510253906,59.67167663574219,False,71.04345321655273
3,0.09995698143664246,59.67167663574219,59.95120620727539,False,71.04345321655273
4,0.13327597524885662,59.95120620727539,59.67167663574219,False,71.04345321655273
5,0.16659496906107077,59.23127746582031,59.89651870727539,False,71.04345321655273
6,0.19991396287328492,59.89651870727539,59.89651870727539,False,71.04345321655273
7,0.23323295668549907,60.417476654052734,60.22364807128906,False,71.04345321655273
8,0.26655195049771324,60.22364807128906,60.417476654052734,False,71.04345321655273
9,0.2998709443099274,61.00389862060547,61.00389862060547,False,71.04345321655273
10,0.33318993812214154,61.35710525512695,61.13669967651367,False,71.04345321655273
11,0.3665089319343557,61.13669967651367,61.13669967651367,False,71.04345321655273
12,0.39982792574656983,60.76116943359375,61.13669967651367,False,71.04345321655273
13,0.433146919558784,61.47745132446289,61.404876708984375,False,71.04345321655273
14,0.46646591337099813,61.404876708984375,61.47745132446289,False,71.04345321655273
15,0.4997849071832123,61.51133346557617,61.51133346557617,False,71.04345321655273
16,0.5331039009954265,61.71723937988281,61.51133346557617,False,71.04345321655273
17,0.5664228948076406,60.97867965698242,60.97867965698242,False,71.04345321655273
18,0.5997418886198548,60.641624450683594,60.641624450683594,False,71.04345321655273
19,0.6330608824320689,60.43374252319336,60.641624450683594,False,71.04345321655273
20,0.6663798762442831,61.40555191040039,61.12293243408203,False,71.04345321655273
21,0.6996988700564972,61.12293243408203,61.12293243408203,False,71.04345321655273
22,0.7330178638687114,60.88399124145508,61.043453216552734,False,71.04345321655273
23,0.7663368576809255,61.043453216552734,60.88399124145508,False,71.04345321655273
24,0.7996558514931397,60.52009201049805,61.043453216552734,False,71.04345321655273
25,0.8329748453053538,61.6897087097168,61.079063415527344,False,71.04345321655273
26,0.866293839117568,61.079063415527344,61.29756164550781,False,71.04345321655273
27,0.8996128329297821,61.29756164550781,61.189701080322266,False,71.04345321655273
28,0.9329318267419963,61.189701080322266,61.189701080322266,False,71.04345321655273
29,0.9662508205542104,60.55788040161133,61.189701080322266,False,71.04345321655273
30,0.9995698143664246,140.65567016601562,140.65567016601562,True,71.04345321655273
31,1.0328888081786387,169.67437744140625,169.67437744140625,True,71.04345321655273
32,1.066207801990853,171.87167358398438,171.87167358398438,True,71.04345321655273
33,1.099526795803067,172.22634887695312,171.87167358398438,True,71.04345321655273
34,1.1328457896152813,171.60765075683594,171.60765075683594,True,71.04345321655273
35,1.1661647834274953,64.64313507080078,64.64313507080078,False,71.04345321655273
36,1.1994837772397096,62.131378173828125,62.131378173828125,False,71.04345321655273
37,1.2328027710519236,61.465309143066406,61.65119934082031,False,71.04345321655273
38,1.2661217648641379,61.65119934082031,61.65119934082031,False,71.04345321655273
39,1.299440758676352,61.78155517578125,61.78155517578125,False,71.04345321655273
40,1.3327597524885662,61.86151885986328,61.86151885986328,False,71.04345321655273
41,1.3660787463007802,61.90245819091797,61.86151885986328,False,71.04345321655273
42,1.3993977401129944,61.32524490356445,61.90245819091797,False,71.04345321655273
43,1.4327167339252085,61.94312286376953,61.94312286376953,False,71.04345321655273
44,1.4660357277374227,62.73623275756836,62.73623275756836,False,71.04345321655273
45,1.4993547215496368,63.594764709472656,63.594764709472656,False,71.04345321655273
46,1.532673715361851,64.23582458496094,64.23582458496094,False,71.04345321655273
47,1.565992709174065,65.31305694580078,64.89531707763672,False,71.04345321655273
48,1.5993117029862793,64.89531707763672,64.89531707763672,False,71.04345321655273
49,1.6326306967984936,64.89261627197266,64.89261627197266,False,71.04345321655273
50,1.6659496906107076,64.31085968017578,64.72759246826172,False,71.04345321655273
51,1.699268684422922,64.72759246826172,64.72759246826172,False,71.04345321655273
52,1.732587678235136,65.24024200439453,65.17572784423828,False,71.04345321655273
53,1.7659066720473502,65.17572784423828,65.24024200439453,False,71.04345321655273
54,1.7992256658595642,65.66305541992188,65.66305541992188,False,71.04345321655273
55,1.8325446596717785,66.84414672851562,66.84414672851562,False,71.04345321655273
56,1.8658636534839925,66.86980438232422,66.86980438232422,False,71.04345321655273
57,1.8991826472962068,67.29359436035156,66.86980438232422,False,71.04345321655273
58,1.9325016411084208,65.74581146240234,66.9694595336914,False,71.04345321655273
59,1.965820634920635,66.9694595336914,66.9694595336914,False,71.04345321655273
60,1.9991396287328491,67.85935974121094,67.85935974121094,False,71.04345321655273
61,2.032458622545063,68.4678955078125,68.29043579101562,False,71.04345321655273
62,2.0657776163572774,68.29043579101562,68.29043579101562,False,71.04345321655273
63,2.0990966101694917,67.83106994628906,68.29043579101562,False,71.04345321655273
64,2.132415603981706,68.30985260009766,68.2672348022461,False,71.04345321655273
65,2.1657345977939197,68.2672348022461,68.2672348022461,False,71.04345321655273
66,2.199053591606134,66.16459655761719,67.93202209472656,False,71.04345321655273
67,2.2323725854183483,67.93202209472656,67.78571319580078,False,71.04345321655273
68,2.2656915792305625,67.78571319580078,67.93202209472656,False,71.04345321655273
69,2.2990105730427763,68.20738983154297,68.20738983154297,False,71.04345321655273
70,2.3323295668549906,68.51206970214844,68.20738983154297,False,71.04345321655273
71,2.365648560667205,67.48774719238281,68.45098876953125,False,71.04345321655273
72,2.398967554479419,68.45098876953125,67.88276672363281,False,71.04345321655273
73,2.4322865482916334,67.88276672363281,68.45098876953125,False,71.04345321655273
74,2.465605542103847,69.14630889892578,68.64408874511719,False,71.04345321655273
75,2.4989245359160615,68.64408874511719,69.14630889892578,False,71.04345321655273
76,2.5322435297282757,70.55714416503906,69.76593017578125,False,71.04345321655273
77,2.56556252354049,69.76593017578125,70.55714416503906,False,71.04345321655273
78,2.598881517352704,71.60637664794922,70.33596801757812,False,71.04345321655273
79,2.632200511164918,70.33596801757812,71.5236587524414,False,71.04345321655273
80,2.6655195049771323,71.5236587524414,70.8031997680664,False,71.04345321655273
81,2.6988384987893466,70.8031997680664,70.8031997680664,False,71.04345321655273
82,2.7321574926015604,68.47388458251953,68.70367431640625,False,71.04345321655273
83,2.7654764864137746,68.70367431640625,68.5307846069336,False,71.04345321655273
84,2.798795480225989,68.5307846069336,68.5307846069336,False,71.04345321655273
85,2.832114474038203,67.861328125,67.861328125,False,71.04345321655273
