frame,time_s,pixels_per_mm,mm_per_pixel,homography_reprojection_error_mm,ruler_scale_correction_factor,corrected_pixels_per_mm,corrected_mm_per_pixel
0,0.0,5.483612298965454,0.1823615429903134,0.0615387037396431,0.9891207434102072,5.543926093450954,0.18037758497201126
2,0.0666987160044484,5.482068300247192,0.1824129042600416,0.056077666580677,0.9891207434102072,5.54236511241952,0.18042838746930728
4,0.1333974320088969,5.477851152420044,0.1825533356374995,0.0591091550886631,0.9891207434102072,5.538101580535022,0.18056729105777658
6,0.2000961480133454,5.483023643493652,0.1823811212608275,0.0571877583861351,0.9891207434102072,5.543330963406698,0.18039695024549685
8,0.2667948640177939,5.481891632080078,0.1824187829887025,0.0562864206731319,0.9891207434102072,5.5421865010939655,0.18043420224177067
10,0.3334935800222424,5.480451583862305,0.1824667155065455,0.0564077496528625,0.9891207434102072,5.540730613905907,0.18048161328945306
12,0.4001922960266909,5.481528520584106,0.1824308669096263,0.0595685839653015,0.9891207434102072,5.541819395764922,0.1804461546986181
14,0.4668910120311394,5.481936931610107,0.1824172755862568,0.0599299557507038,0.9891207434102072,5.542232298869749,0.18043271123874297
16,0.5335897280355879,5.480892419815064,0.1824520394497621,0.0629346519708633,0.9891207434102072,5.541176298576557,0.18046709689725712
18,0.6002884440400365,5.479283094406128,0.1825056276104648,0.0606603622436523,0.9891207434102072,5.539549272331624,0.18052010205860936
20,0.6669871600444849,5.478574752807617,0.1825292243183371,0.0590599402785301,0.9891207434102072,5.538833139742929,0.18054344205184206
22,0.7336858760489334,5.482449293136597,0.1824002278054603,0.0589576624333858,0.9891207434102072,5.54275029581795,0.18041584892512805
24,0.8003845920533819,5.475882291793823,0.1826189729276328,0.0585301853716373,0.9891207434102072,5.536111064574925,0.18063221426298864
26,0.8670833080578304,5.477894067764282,0.1825519054639431,0.0605187565088272,0.9891207434102072,5.5381449679015535,0.18056587644344524
28,0.9337820240622788,5.4762818813323975,0.1826056477130605,0.0591466948390007,0.9891207434102072,5.536515049165518,0.18061903401684481
30,1.0004807400667273,5.480587959289551,0.1824621751221068,0.0585197992622852,0.9891207434102072,5.540868489315107,0.1804771223010217
32,1.0671794560711758,5.4794602394104,0.1824997274015445,0.0593256540596485,0.9891207434102072,5.539728365739029,0.18051426603957585
34,1.1338781720756244,5.47984766960144,0.1824868245056038,0.0577267743647098,0.9891207434102072,5.540120057242438,0.18050150351755084
36,1.200576888080073,5.47609806060791,0.1826117773882574,0.0590307414531707,0.9891207434102072,5.5363292066122085,0.18062509700573243
38,1.2672756040845212,5.477559804916382,0.1825630455193662,0.0576754733920097,0.9891207434102072,5.537807028524457,0.18057689530334697
40,1.3339743200889698,5.477106094360352,0.1825781686116463,0.0598112381994724,0.9891207434102072,5.5373483276438495,0.18059185386762575
42,1.4006730360934183,5.47861385345459,0.1825279216145961,0.060159794986248,0.9891207434102072,5.538872670454657,0.1805421535205493
44,1.4673717520978669,5.478580713272095,0.1825290257342485,0.0608266368508338,0.9891207434102072,5.538839165766058,0.18054324562820073
46,1.5340704681023152,5.48086953163147,0.1824528013718899,0.0606110952794551,0.9891207434102072,5.54115315864774,0.18046785053023862
48,1.6007691841067635,5.4811975955963135,0.1824418810960978,0.0605240650475025,0.9891207434102072,5.541484830960781,0.18045704905892887
50,1.6674679001112125,5.480959415435791,0.1824498092767742,0.0584882274270057,0.9891207434102072,5.5412440310765305,0.18046489098689342
52,1.7341666161156608,5.479143381118774,0.1825102813417911,0.0610947906970977,0.9891207434102072,5.5394080223494715,0.18052470516079847
54,1.8008653321201091,5.48195219039917,0.1824167678352526,0.0602009855210781,0.9891207434102072,5.54224772548896,0.1804322090116922
56,1.8675640481245577,5.481464862823486,0.1824329855295109,0.0579105392098426,0.9891207434102072,5.541755037837902,0.18044825026949338
58,1.9342627641290064,5.481498003005981,0.1824318825714454,0.0586119145154953,0.9891207434102072,5.5417885425265005,0.1804471593107917
