frame,video_time_s,tracking_time_s,x_px,y_px,x_measured_mm,y_measured_mm,dot_diameter_mm,dot_circularity
180,6.002884440400364,0.0028844404003640634,1119.215765600098,283.6487679293858,48.36310958862305,-36.061180114746094,7.508829208331589,0.843375914946181
181,6.036233798402589,0.03623379840258867,1119.1155539251652,283.669601369528,48.345062255859375,-36.06487274169922,7.5184886452864435,0.8386296734591269
182,6.069583156404812,0.06958315640481239,1120.7669465741753,284.50602409638554,48.6418571472168,-36.217323303222656,7.536394753342012,0.8261964927843124
183,6.102932514407037,0.10293251440703699,1120.9983097911384,284.58070747313775,48.68345260620117,-36.23099899291992,7.566600865404436,0.8102216831730007
184,6.136281872409261,0.1362818724092607,1120.9938024061246,284.65876777251185,48.6826057434082,-36.245113372802734,7.541895772142603,0.814131898698713
185,6.169631230411485,0.1696312304114853,1123.0542015278284,286.13992967139563,49.0527229309082,-36.514469146728516,7.550139785285747,0.8159127168020532
186,6.20298058841371,0.20298058841370992,1128.2967656287713,289.9409847936278,49.994503021240234,-37.20573425292969,7.567971005907365,0.8303399712373691
187,6.236329946415934,0.23632994641593363,1117.2048585931834,288.072878897752,47.999046325683594,-36.859928131103516,7.562488954477424,0.8252153617626085
188,6.269679304418158,0.26967930441815824,1108.190321023413,286.67366642529566,46.37741470336914,-36.600440979003906,7.567971005907365,0.8680072407822182
189,6.303028662420382,0.30302866242038196,1103.095220810647,287.0865093768905,45.460296630859375,-36.67148971557617,7.558374806586859,0.8446805739726674
190,6.336378020422607,0.33637802042260656,1099.9349652027836,288.5124790016799,44.89085388183594,-36.927146911621094,7.589859615625343,0.8628947122647156
191,6.369727378424831,0.36972737842483117,1095.1133811230584,288.5990442054958,44.023162841796875,-36.93936538696289,7.606234736312371,0.8387576089542741
192,6.403076736427055,0.4030767364270549,1089.2050442585182,288.90481387171087,42.95981216430664,-36.9904670715332,7.550139785285747,0.8468961974312025
193,6.4364260944292795,0.4364260944292795,1086.6166787702734,290.3674655047204,42.49326705932617,-37.2531623840332,7.557002926222245,0.8240185288452198
194,6.469775452431503,0.4697754524315032,1083.3235328846379,290.4410201912859,41.900638580322266,-37.26411437988281,7.651085611277145,0.8458367509271685
195,6.503124810433728,0.5031248104337278,1073.2705054840246,289.4251311397234,40.09233093261719,-37.07322311401367,7.614409090886642,0.8502782400679603
