Factor,Level,Valid Runs,Mean Transport Time (s),SD Transport Time (s),Mean Mean Transport Speed (mm/s),SD Mean Transport Speed (mm/s),Mean Mean Net Advance per Cycle (mm),SD Mean Net Advance per Cycle (mm),Mean Backward Travel Percentage (%),SD Backward Travel Percentage (%),Mean Vertical Centroid Peak-to-Peak (mm),SD Vertical Centroid Peak-to-Peak (mm),Mean Pitch Peak-to-Peak (deg),SD Pitch Peak-to-Peak (deg)
Friction Level,Low,9,12.288243033695927,6.89285253101796,57.39479631052278,32.153207313333766,146.14011231175175,2.4115883936777536,0.4193789901627579,0.6848688611929602,7.580324526186347,0.9518239865569045,1.0427518067358768,0.10574606477982991
Friction Level,High,9,12.729266763718863,7.095523842440502,54.90448932930738,30.342375662502853,141.62080886322283,3.447444365965797,1.0443080145710666,1.284863158181113,8.429217303240742,0.7541993291355555,0.9891605839769435,0.10401290043644426
Cycle Duration (s),1.5,6,5.466637190860953,0.15116938497874174,95.41452990036395,2.7129362057649464,140.3519293097434,3.3690621937728347,0.0,0.0,7.898890177408873,1.0367217130567934,1.0275751056416706,0.07496514426082992
Cycle Duration (s),3.0,6,10.737208785810983,0.22039662579045446,48.57310641162701,1.1057399656094455,146.75957676216407,2.33704644254457,0.21158888693781105,0.23893324697109486,8.333528306749125,0.9041017953460432,0.9911639252840326,0.10992597365466948
Cycle Duration (s),6.0,6,21.322418719450248,0.4285596795813191,24.46129214775429,0.48599259497595415,144.5298756905544,2.1204805236608726,1.9839416201629254,0.9151240899644549,7.781894259982636,0.9556477095702747,1.0291295551435273,0.13774960912238912
