Friction Level,Cycle Duration (s),Cycle-Time Multiplier,Beat Frequency (Hz),Frequency Multiplier,Valid Repeats,Mean Transport Time_s,SD Transport Time_s,Mean Mean Transport Speed_mm/s,SD Mean Transport Speed_mm/s,Mean Mean Net Advance per Cycle_mm,SD Mean Net Advance per Cycle_mm,Mean Total Backward Travel_mm,SD Total Backward Travel_mm,Mean Backward Travel Percentage_%,SD Backward Travel Percentage_%,Mean Vertical Centroid Peak-to-Peak_mm,SD Vertical Centroid Peak-to-Peak_mm,Mean Pitch Peak-to-Peak_deg,SD Pitch Peak-to-Peak_deg
Low,1.5,0.5,0.6666666666666666,2.0,3,5.333369934747242,0.059454516434365584,97.83722934114354,0.8270393009499157,143.37710693736133,0.3942702052998268,0.0,0.0,0.0,0.0,7.462059868706622,1.0987797483134842,0.9810354705023488,0.05225191874502887
Low,3.0,1.0,0.3333333333333333,1.0,3,10.5656024759341,0.15724377694131575,49.47521508998546,0.6955156900329953,148.63507009435583,1.3230106389950043,0.08811558617485815,0.15262067219356806,0.01686829366471657,0.029216741664281308,8.191080729166666,0.995704309372505,1.0200060916636924,0.12335584744908541
Low,6.0,2.0,0.16666666666666666,0.5,3,20.96575669040644,0.24882372946788497,24.871944500439323,0.2795658207117938,146.40815990353806,0.6789214648099883,6.46341732166433,3.0788753189866633,1.2412686768235572,0.5960146200358698,7.087832980685751,0.6933939803009133,1.1272138580415891,0.09793786304976908
High,1.5,0.5,0.6666666666666666,2.0,3,5.599904446974665,0.01775199161926739,92.99183045958436,0.3280935765886557,137.3267516821255,0.8751583474241402,0.0,0.0,0.0,0.0,8.335720486111123,0.9524708314179366,1.0741147407809926,0.06943598638945736
High,3.0,1.0,0.3333333333333333,1.0,3,10.908815095687865,0.091459824480977,47.67099773326854,0.3626429388171141,144.88408342997232,1.162618733009448,2.1143214190447988,0.8784229486045178,0.4063094802109055,0.1676925607861617,8.475975884331584,0.9955898412948665,0.9623217589043729,0.11179008196400861
High,6.0,2.0,0.16666666666666666,0.5,3,21.67908074849406,0.12498736006435916,24.050639795069248,0.08005556521019444,142.65159147757072,0.44306322173235196,14.217207982805048,1.5234408712690939,2.726614563502294,0.2893225198314085,8.47595553927952,0.5976604151540013,0.9310452522454654,0.09478380974446995
